FX 79-L-120
       49.       49.

  0.000000  0.000000
  0.001070  0.005170
  0.004280  0.010320
  0.009610  0.015390
  0.017040  0.020280
  0.026530  0.024900
  0.038060  0.029240
  0.051560  0.033330
  0.066990  0.037200
  0.084270  0.040850
  0.103320  0.044260
  0.124080  0.047420
  0.146450  0.050290
  0.170330  0.052870
  0.195620  0.055120
  0.222210  0.057010
  0.250000  0.058520
  0.278860  0.059600
  0.308660  0.060230
  0.339280  0.060340
  0.370590  0.059880
  0.402450  0.058830
  0.434740  0.057180
  0.467300  0.054980
  0.500000  0.052280
  0.532700  0.049150
  0.565260  0.045710
  0.597550  0.042090
  0.629410  0.038390
  0.660720  0.034720
  0.691340  0.031120
  0.721140  0.027660
  0.750000  0.024380
  0.777790  0.021310
  0.804380  0.018450
  0.829670  0.015810
  0.853550  0.013430
  0.875920  0.011290
  0.896680  0.009390
  0.915730  0.007720
  0.933010  0.006270
  0.948440  0.005000
  0.961940  0.003900
  0.973470  0.002970
  0.982960  0.002210
  0.990390  0.001660
  0.995720  0.001180
  0.998930  0.000900
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.005170
  0.004280 -0.010320
  0.009610 -0.015390
  0.017040 -0.020280
  0.026530 -0.024900
  0.038060 -0.029240
  0.051560 -0.033330
  0.066990 -0.037200
  0.084270 -0.040850
  0.103320 -0.044260
  0.124080 -0.047420
  0.146450 -0.050290
  0.170330 -0.052870
  0.195620 -0.055120
  0.222210 -0.057010
  0.250000 -0.058520
  0.278860 -0.059600
  0.308660 -0.060230
  0.339280 -0.060340
  0.370590 -0.059880
  0.402450 -0.058830
  0.434740 -0.057180
  0.467300 -0.054980
  0.500000 -0.052280
  0.532700 -0.049150
  0.565260 -0.045710
  0.597550 -0.042090
  0.629410 -0.038390
  0.660720 -0.034720
  0.691340 -0.031120
  0.721140 -0.027660
  0.750000 -0.024380
  0.777790 -0.021310
  0.804380 -0.018450
  0.829670 -0.015810
  0.853550 -0.013430
  0.875920 -0.011290
  0.896680 -0.009390
  0.915730 -0.007720
  0.933010 -0.006270
  0.948440 -0.005000
  0.961940 -0.003900
  0.973470 -0.002970
  0.982960 -0.002210
  0.990390 -0.001660
  0.995720 -0.001180
  0.998930 -0.000900
  1.000000  0.000000
