E230  (9.96%)
       30.       32.

  0.001070  0.003510
  0.007440  0.009750
  0.018530  0.016200
  0.034240  0.022410
  0.054490  0.028140
  0.079140  0.033230
  0.108010  0.037570
  0.140850  0.041060
  0.177400  0.043650
  0.217330  0.045280
  0.260320  0.045940
  0.305970  0.045660
  0.353870  0.044470
  0.403550  0.042450
  0.454550  0.039680
  0.506340  0.036270
  0.558400  0.032350
  0.610190  0.028060
  0.661130  0.023540
  0.710670  0.018960
  0.758250  0.014490
  0.803270  0.010320
  0.845150  0.006600
  0.883300  0.003510
  0.917130  0.001170
  0.946050 -0.000280
  0.969350 -0.000780
  0.986320 -0.000590
  0.996570 -0.000180
  1.000000  0.000000

  0.001070  0.003510
  0.000450 -0.002350
  0.005660 -0.008580
  0.015670 -0.015340
  0.030280 -0.022120
  0.049370 -0.028610
  0.072830 -0.034600
  0.100480 -0.039940
  0.132130 -0.044490
  0.167530 -0.048190
  0.206390 -0.050990
  0.248380 -0.052860
  0.293130 -0.053820
  0.340210 -0.053920
  0.389160 -0.053220
  0.439460 -0.051780
  0.490600 -0.049670
  0.542020 -0.046980
  0.593170 -0.043780
  0.643490 -0.040180
  0.692430 -0.036260
  0.739440 -0.032130
  0.783970 -0.027890
  0.825520 -0.023640
  0.863590 -0.019470
  0.897690 -0.015490
  0.927400 -0.011770
  0.952280 -0.008300
  0.972190 -0.005030
  0.987120 -0.002250
  0.996670 -0.000540
  1.000000  0.000000
