E205  (10.48%)
       31.       31.

  0.003310  0.007660
  0.010970  0.015890
  0.022920  0.024610
  0.039090  0.033440
  0.059370  0.042110
  0.083600  0.050400
  0.111570  0.058110
  0.143020  0.065070
  0.177640  0.071110
  0.215080  0.076060
  0.254960  0.079700
  0.296990  0.081770
  0.341010  0.082140
  0.386800  0.080810
  0.434100  0.077850
  0.482650  0.073420
  0.532170  0.067820
  0.582180  0.061470
  0.632040  0.054700
  0.681080  0.047770
  0.728660  0.040880
  0.774120  0.034190
  0.816840  0.027860
  0.856240  0.021990
  0.891750  0.016680
  0.922850  0.011960
  0.949160  0.007780
  0.970490  0.004270
  0.986490  0.001740
  0.996550  0.000390
  1.000000  0.000000

  0.003310  0.007660
  0.000020  0.000550
  0.002330 -0.005060
  0.010650 -0.009880
  0.024190 -0.014200
  0.042910 -0.017760
  0.066690 -0.020530
  0.095340 -0.022520
  0.128640 -0.023780
  0.166270 -0.024360
  0.207830 -0.024350
  0.252900 -0.023840
  0.300970 -0.022920
  0.351490 -0.021680
  0.403880 -0.020210
  0.457510 -0.018590
  0.511740 -0.016890
  0.565910 -0.015160
  0.619380 -0.013450
  0.671490 -0.011800
  0.721600 -0.010230
  0.769110 -0.008760
  0.813430 -0.007400
  0.854000 -0.006140
  0.890340 -0.004970
  0.921950 -0.003800
  0.948600 -0.002520
  0.970170 -0.001250
  0.986350 -0.000360
  0.996510 -0.000030
  1.000000  0.000000
