NACA 63(4)-421
       26.       26.

  0.000000  0.000000
  0.002370  0.016610
  0.004520  0.020540
  0.009020  0.027170
  0.020860  0.039250
  0.045270  0.056750
  0.070070  0.070100
  0.095060  0.080970
  0.145350  0.097740
  0.195850  0.109930
  0.246490  0.118370
  0.297190  0.123520
  0.347930  0.125580
  0.395670  0.124390
  0.449370  0.120440
  0.500000  0.114120
  0.550540  0.105800
  0.600960  0.095820
  0.651260  0.084550
  0.701430  0.072320
  0.751450  0.059470
  0.801350  0.046430
  0.851110  0.033640
  0.900780  0.021440
  0.950370  0.010220
  1.000000  0.000000

  0.000000  0.000000
  0.007630 -0.014610
  0.010480 -0.017740
  0.015980 -0.022890
  0.029140 -0.031810
  0.054730 -0.044110
  0.079930 -0.053140
  0.104940 -0.060290
  0.154650 -0.070820
  0.204150 -0.078090
  0.253510 -0.082570
  0.302810 -0.084640
  0.352070 -0.084380
  0.401330 -0.081550
  0.450630 -0.076640
  0.500000 -0.070000
  0.549460 -0.062000
  0.599040 -0.052980
  0.648740 -0.043350
  0.698570 -0.033440
  0.748550 -0.023670
  0.798650 -0.014590
  0.848890 -0.006720
  0.899220 -0.000760
  0.949630  0.002420
  1.000000  0.000000
