FX 73-K-170/22
       49.       49.

  0.000000  0.000000
  0.001070  0.005170
  0.004280  0.011470
  0.009610  0.018450
  0.017040  0.025800
  0.026530  0.033590
  0.038060  0.041680
  0.051560  0.049920
  0.066990  0.058170
  0.084270  0.066350
  0.103320  0.074360
  0.124080  0.082100
  0.146450  0.089500
  0.170330  0.096480
  0.195620  0.102970
  0.222210  0.108900
  0.250000  0.114200
  0.278860  0.118790
  0.308660  0.122620
  0.339280  0.125620
  0.370590  0.127760
  0.402450  0.128990
  0.434740  0.129240
  0.467300  0.128430
  0.500000  0.126560
  0.532700  0.123520
  0.565260  0.119330
  0.597550  0.114160
  0.629410  0.108050
  0.660720  0.101090
  0.691340  0.093200
  0.721140  0.084510
  0.750000  0.075430
  0.777790  0.066360
  0.804380  0.057650
  0.829670  0.049530
  0.853550  0.042090
  0.875920  0.035380
  0.896680  0.029430
  0.915730  0.024190
  0.933010  0.019630
  0.948440  0.015630
  0.961940  0.012130
  0.973470  0.009100
  0.982960  0.006510
  0.990390  0.004380
  0.995720  0.002630
  0.998930  0.001380
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004070
  0.004280 -0.007420
  0.009610 -0.010740
  0.017040 -0.014190
  0.026530 -0.017550
  0.038060 -0.020810
  0.051560 -0.023930
  0.066990 -0.026910
  0.084270 -0.029720
  0.103320 -0.032330
  0.124080 -0.034730
  0.146450 -0.036880
  0.170330 -0.038770
  0.195620 -0.040370
  0.222210 -0.041670
  0.250000 -0.042640
  0.278860 -0.043260
  0.308660 -0.043510
  0.339280 -0.043380
  0.370590 -0.042810
  0.402450 -0.041790
  0.434740 -0.040240
  0.467300 -0.038070
  0.500000 -0.035250
  0.532700 -0.031720
  0.565260 -0.027500
  0.597550 -0.022810
  0.629410 -0.017960
  0.660720 -0.013300
  0.691340 -0.009060
  0.721140 -0.005310
  0.750000 -0.002110
  0.777790  0.000550
  0.804380  0.002660
  0.829670  0.004240
  0.853550  0.005300
  0.875920  0.005870
  0.896680  0.005990
  0.915730  0.005740
  0.933010  0.005170
  0.948440  0.004390
  0.961940  0.003460
  0.973470  0.002460
  0.982960  0.001460
  0.990390  0.000490
  0.995720 -0.000200
  0.998930 -0.000820
  1.000000  0.000000
