AH 79-K-143/18
       49.       49.

  0.000000  0.000000
  0.001070  0.004980
  0.004280  0.009730
  0.009610  0.014860
  0.017040  0.020510
  0.026530  0.026360
  0.038060  0.032570
  0.051560  0.039010
  0.066990  0.045570
  0.084270  0.052080
  0.103320  0.058490
  0.124080  0.064620
  0.146450  0.070460
  0.170330  0.075970
  0.195620  0.081060
  0.222210  0.085680
  0.250000  0.089740
  0.278860  0.093190
  0.308660  0.096000
  0.339280  0.098110
  0.370590  0.099460
  0.402450  0.100050
  0.434740  0.099890
  0.467300  0.099030
  0.500000  0.097420
  0.532700  0.094950
  0.565260  0.091790
  0.597550  0.087830
  0.629410  0.083000
  0.660720  0.077320
  0.691340  0.070550
  0.721140  0.062780
  0.750000  0.053950
  0.777790  0.044760
  0.804380  0.035860
  0.829670  0.029180
  0.853550  0.025420
  0.875920  0.022590
  0.896680  0.019730
  0.915730  0.016960
  0.933010  0.014300
  0.948440  0.011780
  0.961940  0.009430
  0.973470  0.007300
  0.982960  0.005410
  0.990390  0.003770
  0.995720  0.002430
  0.998930  0.001370
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004480
  0.004280 -0.008190
  0.009610 -0.011800
  0.017040 -0.015120
  0.026530 -0.018430
  0.038060 -0.021420
  0.051560 -0.024200
  0.066990 -0.026690
  0.084270 -0.028970
  0.103320 -0.030970
  0.124080 -0.032800
  0.146450 -0.034440
  0.170330 -0.035970
  0.195620 -0.037300
  0.222210 -0.038520
  0.250000 -0.039560
  0.278860 -0.040480
  0.308660 -0.041220
  0.339280 -0.041880
  0.370590 -0.042350
  0.402450 -0.042690
  0.434740 -0.042830
  0.467300 -0.042800
  0.500000 -0.042480
  0.532700 -0.041920
  0.565260 -0.041020
  0.597550 -0.039920
  0.629410 -0.038510
  0.660720 -0.036820
  0.691340 -0.034780
  0.721140 -0.032570
  0.750000 -0.029950
  0.777790 -0.027080
  0.804380 -0.023410
  0.829670 -0.019430
  0.853550 -0.014940
  0.875920 -0.010660
  0.896680 -0.006810
  0.915730 -0.003830
  0.933010 -0.001590
  0.948440 -0.000130
  0.961940  0.000670
  0.973470  0.000910
  0.982960  0.000760
  0.990390  0.000360
  0.995720 -0.000150
  0.998930 -0.000610
  1.000000  0.000000
