FX 79-W-660A
       49.       49.

  0.000000  0.000000
  0.001070  0.012890
  0.004280  0.040130
  0.009610  0.063020
  0.017040  0.085890
  0.026530  0.110130
  0.038060  0.132600
  0.051560  0.154560
  0.066990  0.176660
  0.084270  0.198480
  0.103320  0.219860
  0.124080  0.240360
  0.146450  0.259100
  0.170330  0.276290
  0.195620  0.291920
  0.222210  0.305770
  0.250000  0.317880
  0.278860  0.327550
  0.308660  0.334770
  0.339280  0.339610
  0.370590  0.343040
  0.402450  0.345230
  0.434740  0.346020
  0.467300  0.344930
  0.500000  0.342050
  0.532700  0.337610
  0.565260  0.331810
  0.597550  0.324660
  0.629410  0.315640
  0.660720  0.305380
  0.691340  0.294850
  0.721140  0.284580
  0.750000  0.275390
  0.777790  0.266570
  0.804380  0.258070
  0.829670  0.249980
  0.853550  0.242170
  0.875920  0.234850
  0.896680  0.229570
  0.915730  0.225140
  0.933010  0.217900
  0.948440  0.199160
  0.961940  0.171770
  0.973470  0.145150
  0.982960  0.121650
  0.990390  0.095680
  0.995720  0.065110
  0.998930  0.046750
  1.000000  0.042370

  0.000000  0.000000
  0.001070 -0.010000
  0.004280 -0.031590
  0.009610 -0.050090
  0.017040 -0.067480
  0.026530 -0.086180
  0.038060 -0.103930
  0.051560 -0.122040
  0.066990 -0.140430
  0.084270 -0.158870
  0.103320 -0.177310
  0.124080 -0.195690
  0.146450 -0.213220
  0.170330 -0.229930
  0.195620 -0.245640
  0.222210 -0.259910
  0.250000 -0.272680
  0.278860 -0.283920
  0.308660 -0.293760
  0.339280 -0.302170
  0.370590 -0.309120
  0.402450 -0.314510
  0.434740 -0.317850
  0.467300 -0.318960
  0.500000 -0.318200
  0.532700 -0.315570
  0.565260 -0.311060
  0.597550 -0.304620
  0.629410 -0.296820
  0.660720 -0.288180
  0.691340 -0.278230
  0.721140 -0.268110
  0.750000 -0.258700
  0.777790 -0.249860
  0.804380 -0.241860
  0.829670 -0.235020
  0.853550 -0.229020
  0.875920 -0.223550
  0.896680 -0.218560
  0.915730 -0.214000
  0.933010 -0.210230
  0.948440 -0.203110
  0.961940 -0.180230
  0.973470 -0.148500
  0.982960 -0.119160
  0.990390 -0.089460
  0.995720 -0.062960
  0.998930 -0.047280
  1.000000 -0.042390
