NACA 0010-66
       17.       17.

  0.000000  0.000000
  0.012500  0.014890
  0.025000  0.020110
  0.050000  0.026560
  0.075000  0.030890
  0.100000  0.034000
  0.150000  0.038560
  0.200000  0.041780
  0.300000  0.045780
  0.400000  0.048220
  0.500000  0.049560
  0.600000  0.050000
  0.700000  0.048890
  0.800000  0.043000
  0.900000  0.028330
  0.950000  0.016560
  1.000000  0.001000

  0.000000  0.000000
  0.012500 -0.014890
  0.025000 -0.020110
  0.050000 -0.026560
  0.075000 -0.030890
  0.100000 -0.034000
  0.150000 -0.038560
  0.200000 -0.041780
  0.300000 -0.045780
  0.400000 -0.048220
  0.500000 -0.049560
  0.600000 -0.050000
  0.700000 -0.048890
  0.800000 -0.043000
  0.900000 -0.028330
  0.950000 -0.016560
  1.000000 -0.001000
