M6 (65%)
       22.       22.

  0.000000  0.000000
  0.002000  0.004875
  0.004000  0.007345
  0.006000  0.008905
  0.010000  0.011440
  0.012500  0.012805
  0.025000  0.018265
  0.050000  0.026195
  0.075000  0.032110
  0.100000  0.037115
  0.150000  0.044330
  0.200000  0.049075
  0.250000  0.052065
  0.300000  0.053430
  0.400000  0.052325
  0.500000  0.047190
  0.600000  0.039195
  0.700000  0.029770
  0.800000  0.019890
  0.900000  0.010075
  0.950000  0.005200
  1.000000  0.000000

  0.000000  0.000000
  0.002500 -0.006175
  0.005000 -0.007995
  0.007500 -0.009620
  0.010000 -0.010530
  0.012500 -0.011440
  0.025000 -0.014300
  0.050000 -0.017745
  0.075000 -0.019695
  0.100000 -0.021060
  0.150000 -0.022555
  0.200000 -0.023530
  0.250000 -0.024115
  0.300000 -0.024635
  0.400000 -0.025350
  0.500000 -0.025610
  0.600000 -0.024830
  0.700000 -0.022620
  0.800000 -0.018395
  0.900000 -0.011505
  0.950000 -0.007020
  1.000000  0.000000
