S8052 (11.88%)
       41.       41.

  0.001630  0.005690
  0.005520  0.012400
  0.011650  0.019160
  0.020250  0.025790
  0.031400  0.032340
  0.044930  0.038640
  0.060850  0.044580
  0.079070  0.050120
  0.099560  0.055100
  0.122340  0.059510
  0.147270  0.063410
  0.174220  0.066760
  0.203040  0.069570
  0.233570  0.071820
  0.265600  0.073510
  0.298960  0.074610
  0.333440  0.075110
  0.368870  0.074980
  0.405010  0.074230
  0.441690  0.072830
  0.478730  0.070810
  0.515880  0.068140
  0.552990  0.064820
  0.589840  0.060880
  0.626350  0.056170
  0.662590  0.050830
  0.698410  0.045240
  0.733510  0.039570
  0.767590  0.034000
  0.800360  0.028630
  0.831550  0.023570
  0.860870  0.018910
  0.888040  0.014720
  0.912800  0.011040
  0.934910  0.007900
  0.954120  0.005330
  0.970220  0.003300
  0.983010  0.001810
  0.992310  0.000790
  0.998030  0.000180
  1.000000  0.000000

  0.001630  0.005690
  0.000010 -0.000370
  0.001470 -0.005400
  0.006510 -0.009850
  0.014710 -0.014270
  0.025830 -0.018600
  0.039770 -0.022710
  0.056420 -0.026540
  0.075690 -0.030030
  0.097490 -0.033160
  0.121690 -0.035900
  0.148180 -0.038240
  0.176780 -0.040180
  0.207350 -0.041710
  0.239700 -0.042830
  0.273640 -0.043540
  0.308960 -0.043850
  0.345450 -0.043770
  0.382880 -0.043310
  0.421000 -0.042480
  0.459570 -0.041270
  0.498340 -0.039670
  0.537020 -0.037580
  0.575560 -0.034940
  0.613890 -0.031850
  0.651810 -0.028430
  0.689160 -0.024810
  0.725680 -0.021160
  0.761130 -0.017620
  0.795180 -0.014330
  0.827510 -0.011360
  0.857820 -0.008760
  0.885810 -0.006560
  0.911210 -0.004750
  0.933770 -0.003300
  0.953250 -0.002180
  0.969500 -0.001280
  0.982460 -0.000560
  0.992040 -0.000110
  0.997980  0.000020
  1.000000  0.000000
