FX 76-MP-160
       49.       49.

  0.000000  0.000000
  0.001070  0.007960
  0.004280  0.015890
  0.009610  0.024980
  0.017040  0.034390
  0.026530  0.044420
  0.038060  0.054150
  0.051560  0.064120
  0.066990  0.073470
  0.084270  0.082730
  0.103320  0.091270
  0.124080  0.099540
  0.146450  0.106870
  0.170330  0.113750
  0.195620  0.119550
  0.222210  0.124860
  0.250000  0.129100
  0.278860  0.132820
  0.308660  0.135440
  0.339280  0.137510
  0.370590  0.138500
  0.402450  0.138920
  0.434740  0.138270
  0.467300  0.136980
  0.500000  0.134640
  0.532700  0.131720
  0.565260  0.127680
  0.597550  0.122850
  0.629410  0.116860
  0.660720  0.110070
  0.691340  0.102210
  0.721140  0.093640
  0.750000  0.084420
  0.777790  0.075310
  0.804380  0.066260
  0.829670  0.057900
  0.853550  0.049840
  0.875920  0.042570
  0.896680  0.035670
  0.915730  0.029580
  0.933010  0.023920
  0.948440  0.019040
  0.961940  0.014620
  0.973470  0.010900
  0.982960  0.007620
  0.990390  0.004930
  0.995720  0.002840
  0.998930  0.001260
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.005670
  0.004280 -0.011290
  0.009610 -0.016970
  0.017040 -0.021240
  0.026530 -0.025440
  0.038060 -0.028190
  0.051560 -0.030990
  0.066990 -0.032490
  0.084270 -0.034100
  0.103320 -0.034440
  0.124080 -0.034830
  0.146450 -0.034070
  0.170330 -0.033620
  0.195620 -0.032140
  0.222210 -0.031110
  0.250000 -0.029190
  0.278860 -0.027790
  0.308660 -0.025570
  0.339280 -0.023960
  0.370590 -0.021640
  0.402450 -0.019950
  0.434740 -0.017610
  0.467300 -0.015890
  0.500000 -0.013500
  0.532700 -0.011750
  0.565260 -0.009320
  0.597550 -0.007420
  0.629410 -0.004820
  0.660720 -0.002620
  0.691340  0.000290
  0.721140  0.002760
  0.750000  0.005750
  0.777790  0.007870
  0.804380  0.010120
  0.829670  0.011160
  0.853550  0.012250
  0.875920  0.012100
  0.896680  0.012020
  0.915730  0.010850
  0.933010  0.009920
  0.948440  0.008090
  0.961940  0.006630
  0.973470  0.004580
  0.982960  0.003120
  0.990390  0.001430
  0.995720  0.000660
  0.998930  0.000450
  1.000000  0.000000
