NACA 65(4)-221
       26.       26.

  0.000000  0.000000
  0.003720  0.015670
  0.006080  0.019020
  0.010900  0.024020
  0.023140  0.033350
  0.047910  0.047830
  0.072800  0.059180
  0.097780  0.068650
  0.147870  0.083700
  0.198080  0.095140
  0.248340  0.103810
  0.298650  0.110070
  0.348980  0.114040
  0.399320  0.115700
  0.449670  0.114610
  0.500000  0.110550
  0.550300  0.103720
  0.600540  0.094610
  0.650720  0.083900
  0.700840  0.071950
  0.750880  0.059180
  0.800840  0.045950
  0.850720  0.032700
  0.900520  0.020000
  0.950260  0.008610
  1.000000  0.000000

  0.000000  0.000000
  0.006280 -0.014670
  0.008920 -0.017620
  0.014100 -0.021880
  0.026840 -0.029630
  0.052090 -0.041510
  0.077200 -0.050700
  0.102220 -0.058310
  0.152130 -0.070240
  0.201920 -0.079220
  0.251660 -0.085910
  0.301350 -0.090630
  0.351020 -0.093440
  0.400680 -0.094280
  0.450330 -0.092710
  0.500000 -0.088490
  0.549700 -0.081820
  0.599460 -0.073190
  0.649280 -0.063300
  0.699160 -0.052510
  0.749120 -0.041280
  0.799160 -0.030030
  0.849280 -0.019240
  0.899480 -0.009660
  0.949740 -0.002290
  1.000000  0.000000
