NACA 65(1)-212
       26.       26.

  0.000000  0.000000
  0.004230  0.009700
  0.006640  0.011760
  0.011540  0.014910
  0.023910  0.020580
  0.048780  0.029190
  0.073730  0.035930
  0.098730  0.041620
  0.148790  0.050730
  0.198900  0.057700
  0.249060  0.063000
  0.299230  0.066870
  0.349420  0.069420
  0.399610  0.070680
  0.449810  0.070440
  0.500000  0.068600
  0.550170  0.065070
  0.600320  0.060140
  0.650430  0.054110
  0.700500  0.047150
  0.750530  0.039540
  0.800520  0.031400
  0.850450  0.023020
  0.900330  0.014630
  0.950170  0.006720
  1.000000  0.000000

  0.000000  0.000000
  0.005770 -0.008700
  0.008360 -0.010360
  0.013460 -0.012770
  0.026090 -0.016860
  0.051220 -0.022870
  0.076270 -0.027450
  0.101270 -0.031280
  0.151210 -0.037270
  0.201100 -0.041780
  0.250940 -0.045100
  0.300770 -0.047430
  0.350580 -0.048820
  0.400390 -0.049260
  0.450190 -0.048540
  0.500000 -0.046540
  0.549830 -0.043170
  0.599680 -0.038720
  0.649570 -0.033510
  0.699500 -0.027710
  0.749470 -0.021640
  0.799480 -0.015480
  0.849550 -0.009560
  0.899670 -0.004290
  0.949830 -0.000400
  1.000000  0.000000
