E178  (8.69%)
       32.       30.

  0.000000 -0.000180
  0.002630  0.005450
  0.009850  0.012360
  0.021430  0.019800
  0.037310  0.027350
  0.057450  0.034760
  0.081660  0.041850
  0.109770  0.048450
  0.141500  0.054440
  0.176570  0.059690
  0.214610  0.064090
  0.255230  0.067500
  0.298010  0.069840
  0.342500  0.070860
  0.388450  0.070360
  0.435630  0.068340
  0.483780  0.064840
  0.532610  0.060050
  0.581800  0.054140
  0.631030  0.047530
  0.679710  0.040670
  0.727160  0.033850
  0.772710  0.027310
  0.815710  0.021240
  0.855530  0.015810
  0.891580  0.011110
  0.923280  0.007260
  0.950110  0.004280
  0.971560  0.002180
  0.987220  0.000860
  0.996780  0.000190
  1.000000  0.000000

  0.000000 -0.000180
  0.003020 -0.004700
  0.011900 -0.008760
  0.025980 -0.012220
  0.045240 -0.014970
  0.069530 -0.016980
  0.098700 -0.018290
  0.132480 -0.018960
  0.170540 -0.019050
  0.212490 -0.018670
  0.257880 -0.017880
  0.306190 -0.016780
  0.356870 -0.015460
  0.409340 -0.013980
  0.462960 -0.012430
  0.517120 -0.010860
  0.571140 -0.009330
  0.624400 -0.007870
  0.676250 -0.006510
  0.726070 -0.005290
  0.773260 -0.004210
  0.817250 -0.003280
  0.857490 -0.002500
  0.893500 -0.001870
  0.924820 -0.001360
  0.951060 -0.000920
  0.971940 -0.000490
  0.987290 -0.000140
  0.996770 -0.000010
  1.000000  0.000000
