E214  (11.1%)
       32.       30.

  0.002100  0.006190
  0.008560  0.014650
  0.019340  0.023790
  0.034340  0.033210
  0.053490  0.042580
  0.076650  0.051680
  0.103650  0.060280
  0.134240  0.068220
  0.168160  0.075320
  0.205100  0.081420
  0.244740  0.086390
  0.286740  0.090080
  0.330760  0.092410
  0.376450  0.093320
  0.423460  0.092810
  0.471420  0.090930
  0.519910  0.087760
  0.568520  0.083440
  0.616820  0.078130
  0.664300  0.072070
  0.710400  0.065440
  0.754570  0.058410
  0.796260  0.051050
  0.835080  0.043440
  0.870720  0.035760
  0.902790  0.028330
  0.930810  0.021390
  0.954310  0.015010
  0.973120  0.009160
  0.987370  0.004220
  0.996690  0.001040
  1.000000  0.000000

  0.002100  0.006190
  0.000050 -0.000860
  0.003600 -0.006320
  0.013260 -0.010870
  0.028300 -0.014750
  0.048580 -0.017840
  0.073900 -0.020110
  0.104060 -0.021610
  0.138740 -0.022360
  0.177590 -0.022450
  0.220170 -0.021930
  0.265990 -0.020860
  0.314490 -0.019280
  0.365080 -0.017210
  0.417140 -0.014530
  0.470300 -0.011000
  0.524500 -0.006780
  0.579320 -0.002450
  0.634000  0.001550
  0.687700  0.004950
  0.739590  0.007560
  0.788830  0.009230
  0.834610  0.009940
  0.876120  0.009700
  0.912650  0.008620
  0.943520  0.006840
  0.968090  0.004610
  0.985820  0.002350
  0.996460  0.000650
  1.000000  0.000000
