NACA 64-210
       26.       26.

  0.000000  0.000000
  0.004310  0.008670
  0.006730  0.010560
  0.011630  0.013540
  0.024010  0.018840
  0.048900  0.026560
  0.073870  0.032480
  0.098870  0.037360
  0.148940  0.045140
  0.199050  0.050970
  0.249190  0.055330
  0.299340  0.058360
  0.349510  0.060100
  0.399680  0.060590
  0.449850  0.059380
  0.500000  0.056890
  0.550140  0.053330
  0.600250  0.048910
  0.650330  0.043750
  0.700380  0.037990
  0.750400  0.031760
  0.800390  0.025180
  0.850330  0.018490
  0.900240  0.011880
  0.950120  0.005640
  1.000000  0.000000

  0.000000  0.000000
  0.005690 -0.007670
  0.008270 -0.009160
  0.013370 -0.011400
  0.025990 -0.015120
  0.051100 -0.020240
  0.076130 -0.024000
  0.101130 -0.027020
  0.151060 -0.031680
  0.200950 -0.035050
  0.250810 -0.037430
  0.300660 -0.038920
  0.350490 -0.039500
  0.400320 -0.039170
  0.450150 -0.037480
  0.500000 -0.034830
  0.549870 -0.031430
  0.599750 -0.027490
  0.649670 -0.023150
  0.699620 -0.018550
  0.749600 -0.013860
  0.799620 -0.009260
  0.849680 -0.005030
  0.899770 -0.001540
  0.949880  0.000680
  1.000000  0.000000
