NACA 65(2)-215
       26.       26.

  0.000000  0.000000
  0.004060  0.011700
  0.006450  0.014220
  0.011320  0.018050
  0.023650  0.025060
  0.048480  0.035570
  0.073420  0.043800
  0.098410  0.050690
  0.148480  0.061750
  0.198630  0.070180
  0.248820  0.076580
  0.299040  0.081230
  0.349270  0.084260
  0.399520  0.085690
  0.449760  0.085220
  0.500000  0.082710
  0.550210  0.078150
  0.600690  0.071890
  0.650530  0.064330
  0.700620  0.055720
  0.750650  0.046380
  0.800630  0.036530
  0.850550  0.026490
  0.900400  0.016600
  0.950200  0.007440
  1.000000  0.000000

  0.000000  0.000000
  0.005940 -0.010700
  0.008550 -0.012820
  0.013680 -0.015910
  0.026350 -0.021340
  0.051520 -0.029250
  0.076580 -0.035320
  0.101590 -0.040350
  0.151520 -0.048290
  0.201370 -0.054260
  0.251180 -0.058680
  0.300960 -0.061790
  0.350730 -0.063660
  0.400480 -0.064270
  0.450240 -0.063320
  0.500000 -0.060650
  0.549790 -0.056250
  0.599610 -0.050470
  0.649470 -0.043730
  0.699380 -0.036280
  0.749350 -0.028480
  0.799370 -0.020610
  0.849450 -0.013030
  0.899600 -0.006260
  0.949800 -0.001120
  1.000000  0.000000
