E221  (9.39%)
       31.       31.

  0.000990  0.003440
  0.006570  0.010590
  0.016510  0.018350
  0.030710  0.026210
  0.049120  0.033840
  0.071620  0.041010
  0.098060  0.047520
  0.128250  0.053190
  0.161950  0.057900
  0.198880  0.061530
  0.238740  0.063970
  0.281210  0.065140
  0.326000  0.064990
  0.372790  0.063560
  0.421200  0.060940
  0.470820  0.057250
  0.521210  0.052630
  0.571920  0.047260
  0.622490  0.041370
  0.672390  0.035260
  0.720980  0.029220
  0.767620  0.023490
  0.811610  0.018260
  0.852300  0.013650
  0.889040  0.009750
  0.921230  0.006540
  0.948420  0.003920
  0.970310  0.001910
  0.986540  0.000640
  0.996590  0.000100
  1.000000  0.000000

  0.000990  0.003440
  0.000500 -0.002250
  0.005770 -0.007020
  0.016590 -0.011710
  0.032560 -0.015970
  0.053510 -0.019670
  0.079300 -0.022720
  0.109720 -0.025120
  0.144500 -0.026880
  0.183310 -0.028030
  0.225750 -0.028630
  0.271370 -0.028730
  0.319680 -0.028400
  0.370120 -0.027710
  0.422120 -0.026700
  0.475090 -0.025450
  0.528410 -0.023990
  0.581450 -0.022370
  0.633600 -0.020620
  0.684250 -0.018790
  0.732810 -0.016890
  0.778700 -0.014950
  0.821400 -0.013000
  0.860380 -0.011040
  0.895200 -0.009080
  0.925410 -0.007070
  0.950820 -0.004900
  0.971390 -0.002760
  0.986870 -0.001100
  0.996640 -0.000230
  1.000000  0.000000
