NACA 0008-34
       17.       17.

  0.000000  0.000000
  0.012500  0.007560
  0.025000  0.011200
  0.050000  0.016620
  0.075000  0.020890
  0.100000  0.024360
  0.150000  0.029960
  0.200000  0.033960
  0.300000  0.038670
  0.400000  0.040000
  0.500000  0.038840
  0.600000  0.035470
  0.700000  0.029870
  0.800000  0.022130
  0.900000  0.012440
  0.950000  0.006840
  1.000000  0.000800

  0.000000  0.000000
  0.012500 -0.007560
  0.025000 -0.011200
  0.050000 -0.016620
  0.075000 -0.020890
  0.100000 -0.024360
  0.150000 -0.029960
  0.200000 -0.033960
  0.300000 -0.038670
  0.400000 -0.040000
  0.500000 -0.038840
  0.600000 -0.035470
  0.700000 -0.029870
  0.800000 -0.022130
  0.900000 -0.012440
  0.950000 -0.006840
  1.000000 -0.000800
