NACA 16-006
       17.       17.

  0.000000  0.000000
  0.012500  0.006460
  0.025000  0.009030
  0.050000  0.012550
  0.075000  0.015160
  0.100000  0.017290
  0.150000  0.020670
  0.200000  0.023320
  0.300000  0.027090
  0.400000  0.029270
  0.500000  0.030000
  0.600000  0.029170
  0.700000  0.026350
  0.800000  0.020990
  0.900000  0.012590
  0.950000  0.007070
  1.000000  0.000600

  0.000000  0.000000
  0.012500 -0.006460
  0.025000 -0.009030
  0.050000 -0.012550
  0.075000 -0.015160
  0.100000 -0.017290
  0.150000 -0.020670
  0.200000 -0.023320
  0.300000 -0.027090
  0.400000 -0.029270
  0.500000 -0.030000
  0.600000 -0.029170
  0.700000 -0.026350
  0.800000 -0.020990
  0.900000 -0.012590
  0.950000 -0.007070
  1.000000 -0.000600
