E224  (10.17%)
       31.       31.

  0.001790  0.004770
  0.008450  0.012120
  0.019610  0.019860
  0.035170  0.027610
  0.055030  0.035080
  0.079090  0.042070
  0.107140  0.048410
  0.138980  0.053960
  0.174340  0.058610
  0.212930  0.062270
  0.254420  0.064890
  0.298440  0.066430
  0.344600  0.066890
  0.392480  0.066280
  0.441640  0.064670
  0.491600  0.062100
  0.541890  0.058690
  0.592000  0.054520
  0.641430  0.049750
  0.689670  0.044500
  0.736190  0.038940
  0.780480  0.033240
  0.822030  0.027560
  0.860330  0.022070
  0.894890  0.016920
  0.925240  0.012260
  0.950890  0.008200
  0.971520  0.004720
  0.986920  0.002050
  0.996640  0.000480
  1.000000  0.000000

  0.001790  0.004770
  0.000140 -0.001240
  0.004300 -0.006570
  0.014020 -0.012240
  0.028670 -0.017660
  0.048080 -0.022600
  0.072090 -0.026870
  0.100550 -0.030390
  0.133220 -0.033070
  0.169840 -0.034880
  0.210080 -0.035840
  0.253580 -0.035950
  0.299950 -0.035280
  0.348710 -0.033890
  0.399390 -0.031870
  0.451450 -0.029330
  0.504340 -0.026370
  0.557470 -0.023120
  0.610240 -0.019700
  0.662050 -0.016220
  0.712290 -0.012820
  0.760350 -0.009620
  0.805620 -0.006710
  0.847500 -0.004220
  0.885410 -0.002210
  0.918790 -0.000750
  0.947080  0.000120
  0.969770  0.000470
  0.986390  0.000410
  0.996570  0.000150
  1.000000  0.000000
