SD7043 (9.1%)
       32.       30.

  0.000830  0.004040
  0.005090  0.012360
  0.013340  0.021060
  0.025810  0.029750
  0.042490  0.038180
  0.063310  0.046120
  0.088210  0.053400
  0.117020  0.059890
  0.149540  0.065490
  0.185490  0.070150
  0.224570  0.073820
  0.266390  0.076450
  0.310560  0.078020
  0.356650  0.078500
  0.404220  0.077890
  0.452820  0.076200
  0.501990  0.073470
  0.551270  0.069750
  0.600190  0.065150
  0.648250  0.059740
  0.695000  0.053620
  0.740040  0.046900
  0.783010  0.039790
  0.823510  0.032560
  0.861080  0.025530
  0.895220  0.018970
  0.925440  0.013150
  0.951210  0.008280
  0.972020  0.004510
  0.987360  0.001910
  0.996810  0.000460
  1.000000  0.000000

  0.000830  0.004040
  0.000520 -0.002780
  0.005550 -0.007700
  0.016690 -0.011500
  0.033240 -0.014520
  0.055010 -0.016690
  0.081830 -0.018020
  0.113450 -0.018560
  0.149560 -0.018390
  0.189790 -0.017560
  0.233740 -0.016170
  0.280940 -0.014290
  0.330880 -0.012040
  0.383020 -0.009510
  0.436780 -0.006830
  0.491530 -0.004120
  0.546650 -0.001480
  0.601460  0.000960
  0.655300  0.003110
  0.707510  0.004870
  0.757400  0.006150
  0.804300  0.006880
  0.847550  0.007030
  0.886500  0.006540
  0.920470  0.005460
  0.948810  0.004000
  0.971100  0.002480
  0.987130  0.001190
  0.996780  0.000310
  1.000010  0.000000
