NACA 64(4)-221
       26.       26.

  0.000000  0.000000
  0.003620  0.016900
  0.005960  0.020490
  0.010750  0.026180
  0.022970  0.036650
  0.047720  0.051820
  0.072640  0.063340
  0.097650  0.072820
  0.147760  0.087780
  0.197990  0.098890
  0.248290  0.107010
  0.298610  0.112400
  0.348970  0.115100
  0.399330  0.115020
  0.449680  0.111250
  0.500000  0.105070
  0.550270  0.097020
  0.600500  0.087490
  0.650650  0.076790
  0.700750  0.065210
  0.750770  0.053100
  0.800730  0.040820
  0.850610  0.028850
  0.900440  0.017610
  0.950210  0.007650
  1.000000  0.000000

  0.000000  0.000000
  0.006380 -0.015900
  0.009040 -0.019090
  0.014250 -0.024040
  0.027030 -0.032930
  0.052280 -0.045500
  0.077360 -0.054860
  0.102370 -0.062480
  0.152240 -0.074320
  0.202010 -0.082970
  0.251710 -0.089110
  0.301390 -0.092960
  0.351030 -0.094500
  0.400670 -0.093600
  0.450320 -0.089350
  0.500000 -0.083010
  0.549730 -0.075120
  0.599500 -0.066070
  0.649350 -0.056190
  0.699250 -0.045770
  0.749230 -0.035200
  0.799270 -0.024900
  0.849390 -0.015390
  0.899560 -0.007270
  0.949790 -0.001330
  1.000000  0.000000
