E201  (11.88%)
       31.       31.

  0.004070  0.008760
  0.012580  0.017310
  0.025470  0.026320
  0.042640  0.035450
  0.063960  0.044430
  0.089250  0.053050
  0.118280  0.061120
  0.150780  0.068470
  0.186420  0.074960
  0.224840  0.080420
  0.265650  0.084710
  0.308430  0.087640
  0.352850  0.088950
  0.398700  0.088550
  0.445720  0.086440
  0.493650  0.082710
  0.542220  0.077540
  0.591100  0.071220
  0.639840  0.064190
  0.687770  0.056770
  0.734270  0.049230
  0.778710  0.041760
  0.820480  0.034540
  0.858990  0.027710
  0.893690  0.021410
  0.924060  0.015650
  0.949770  0.010420
  0.970690  0.005890
  0.986500  0.002500
  0.996530  0.000580
  1.000000  0.000000

  0.004070  0.008760
  0.000110  0.001280
  0.001870 -0.004880
  0.009640 -0.010460
  0.022580 -0.015740
  0.040550 -0.020410
  0.063410 -0.024370
  0.090970 -0.027560
  0.122980 -0.029930
  0.159160 -0.031490
  0.199150 -0.032270
  0.242530 -0.032280
  0.288830 -0.031570
  0.337530 -0.030100
  0.388230 -0.027760
  0.440690 -0.024710
  0.494390 -0.021310
  0.548640 -0.017830
  0.602720 -0.014440
  0.655910 -0.011250
  0.707490 -0.008390
  0.756760 -0.005910
  0.803050 -0.003860
  0.845720 -0.002250
  0.884160 -0.001070
  0.917820 -0.000270
  0.946250  0.000250
  0.969120  0.000510
  0.986020  0.000450
  0.996460  0.000170
  1.000000  0.000000
