AH 80-136
       49.       49.

  0.000000  0.000000
  0.001070  0.004410
  0.004280  0.009720
  0.009610  0.015830
  0.017040  0.022430
  0.026530  0.029290
  0.038060  0.036350
  0.051560  0.043610
  0.066990  0.050970
  0.084270  0.058290
  0.103320  0.065360
  0.124080  0.072040
  0.146450  0.078240
  0.170330  0.083880
  0.195620  0.088900
  0.222210  0.093160
  0.250000  0.096590
  0.278860  0.099180
  0.308660  0.100930
  0.339280  0.101770
  0.370590  0.101560
  0.402450  0.100170
  0.434740  0.097490
  0.467300  0.093440
  0.500000  0.088020
  0.532700  0.081410
  0.565260  0.073980
  0.597550  0.066160
  0.629410  0.058230
  0.660720  0.050420
  0.691340  0.042900
  0.721140  0.035880
  0.750000  0.029480
  0.777790  0.023740
  0.804380  0.018680
  0.829670  0.014290
  0.853550  0.010580
  0.875920  0.007570
  0.896680  0.005250
  0.915730  0.003550
  0.933010  0.002320
  0.948440  0.001460
  0.961940  0.000960
  0.973470  0.000830
  0.982960  0.000980
  0.990390  0.001230
  0.995720  0.001440
  0.998930  0.001460
  1.000000  0.001460

  0.000000  0.000000
  0.001070 -0.003730
  0.004280 -0.007070
  0.009610 -0.010080
  0.017040 -0.012700
  0.026530 -0.014950
  0.038060 -0.017030
  0.051560 -0.019130
  0.066990 -0.021240
  0.084270 -0.023260
  0.103320 -0.025100
  0.124080 -0.026730
  0.146450 -0.028170
  0.170330 -0.029450
  0.195620 -0.030580
  0.222210 -0.031550
  0.250000 -0.032330
  0.278860 -0.032950
  0.308660 -0.033420
  0.339280 -0.033720
  0.370590 -0.033820
  0.402450 -0.033650
  0.434740 -0.033180
  0.467300 -0.032410
  0.500000 -0.031360
  0.532700 -0.030130
  0.565260 -0.028850
  0.597550 -0.027560
  0.629410 -0.026250
  0.660720 -0.024910
  0.691340 -0.023530
  0.721140 -0.022050
  0.750000 -0.020430
  0.777790 -0.018650
  0.804380 -0.016820
  0.829670 -0.015040
  0.853550 -0.013340
  0.875920 -0.011680
  0.896680 -0.009990
  0.915730 -0.008280
  0.933010 -0.006660
  0.948440 -0.005240
  0.961940 -0.004020
  0.973470 -0.002960
  0.982960 -0.002010
  0.990390 -0.001230
  0.995720 -0.000610
  0.998930 -0.000490
  1.000000 -0.000290
