AH 81-131
       49.       49.

  0.000000  0.000580
  0.001070  0.004280
  0.004280  0.009340
  0.009610  0.015140
  0.017040  0.021030
  0.026530  0.026800
  0.038060  0.032490
  0.051560  0.038360
  0.066990  0.044370
  0.084270  0.050390
  0.103320  0.056340
  0.124080  0.062060
  0.146450  0.067460
  0.170330  0.072440
  0.195620  0.076960
  0.222210  0.081020
  0.250000  0.084610
  0.278860  0.087710
  0.308660  0.090240
  0.339280  0.091990
  0.370590  0.093030
  0.402450  0.093490
  0.434740  0.093370
  0.467300  0.092590
  0.500000  0.090830
  0.532700  0.088060
  0.565260  0.084260
  0.597550  0.079480
  0.629410  0.073710
  0.660720  0.066860
  0.691340  0.058980
  0.721140  0.050390
  0.750000  0.041680
  0.777790  0.033420
  0.804380  0.026010
  0.829670  0.019620
  0.853550  0.014270
  0.875920  0.009890
  0.896680  0.006410
  0.915730  0.003750
  0.933010  0.001800
  0.948440  0.000490
  0.961940 -0.000320
  0.973470 -0.000730
  0.982960 -0.000830
  0.990390 -0.000700
  0.995720 -0.000430
  0.998930 -0.000140
  1.000000  0.000000

  0.000000  0.000580
  0.001070 -0.002220
  0.004280 -0.004600
  0.009610 -0.006980
  0.017040 -0.009480
  0.026530 -0.011860
  0.038060 -0.014190
  0.051560 -0.016490
  0.066990 -0.018780
  0.084270 -0.021060
  0.103320 -0.023290
  0.124080 -0.025370
  0.146450 -0.027290
  0.170330 -0.029130
  0.195620 -0.030830
  0.222210 -0.032390
  0.250000 -0.033750
  0.278860 -0.034840
  0.308660 -0.035670
  0.339280 -0.036340
  0.370590 -0.036800
  0.402450 -0.037030
  0.434740 -0.037020
  0.467300 -0.036710
  0.500000 -0.036240
  0.532700 -0.035550
  0.565260 -0.034670
  0.597550 -0.033620
  0.629410 -0.032380
  0.660720 -0.031030
  0.691340 -0.029560
  0.721140 -0.028010
  0.750000 -0.026420
  0.777790 -0.024770
  0.804380 -0.023050
  0.829670 -0.021240
  0.853550 -0.019350
  0.875920 -0.017380
  0.896680 -0.015290
  0.915730 -0.013120
  0.933010 -0.010920
  0.948440 -0.008780
  0.961940 -0.006780
  0.973470 -0.004980
  0.982960 -0.003430
  0.990390 -0.002150
  0.995720 -0.001140
  0.998930 -0.000430
  1.000000  0.000000
