EH 0.0/9.0
       50.       51.

  0.000000  0.000000
  0.000990  0.002890
  0.003940  0.006230
  0.008860  0.009840
  0.015710  0.013500
  0.024470  0.017260
  0.035110  0.020940
  0.047590  0.024450
  0.061850  0.027780
  0.077840  0.030870
  0.095490  0.033700
  0.114740  0.036240
  0.135520  0.038470
  0.157730  0.040390
  0.181290  0.041980
  0.206110  0.043230
  0.232090  0.044150
  0.259120  0.044740
  0.287110  0.045000
  0.315940  0.044950
  0.345490  0.044600
  0.375650  0.043960
  0.406310  0.043060
  0.437330  0.041910
  0.468610  0.040540
  0.500000  0.038950
  0.531390  0.037160
  0.562670  0.035260
  0.593690  0.033200
  0.624350  0.031040
  0.654510  0.028790
  0.684060  0.026480
  0.712890  0.024150
  0.740880  0.021810
  0.793890  0.017240
  0.818710  0.015050
  0.842270  0.012970
  0.864480  0.011000
  0.885260  0.009160
  0.904510  0.007480
  0.922160  0.005970
  0.938150  0.004630
  0.952410  0.003450
  0.964890  0.002430
  0.975530  0.001580
  0.984290  0.000920
  0.991140  0.000460
  0.996060  0.000180
  0.999010  0.000040
  1.000000  0.000000

  0.000000  0.000000
  0.000990 -0.002890
  0.003940 -0.006230
  0.008860 -0.009840
  0.015710 -0.013500
  0.024470 -0.017260
  0.035110 -0.020940
  0.047590 -0.024450
  0.061850 -0.027780
  0.077840 -0.030870
  0.095490 -0.033700
  0.114740 -0.036240
  0.135520 -0.038470
  0.157730 -0.040390
  0.181290 -0.041980
  0.206110 -0.043230
  0.232090 -0.044150
  0.259120 -0.044740
  0.287110 -0.045000
  0.315940 -0.044950
  0.345490 -0.044600
  0.375650 -0.043960
  0.406310 -0.043060
  0.437330 -0.041910
  0.468610 -0.040540
  0.500000 -0.038950
  0.531390 -0.037160
  0.562670 -0.035260
  0.593690 -0.033200
  0.624350 -0.031040
  0.654510 -0.028790
  0.684060 -0.026480
  0.712890 -0.024150
  0.740880 -0.021810
  0.767910 -0.019500
  0.793890 -0.017240
  0.818710 -0.015050
  0.842270 -0.012970
  0.864480 -0.011000
  0.885260 -0.009160
  0.904510 -0.007480
  0.922160 -0.005970
  0.938150 -0.004630
  0.952410 -0.003450
  0.964890 -0.002430
  0.975530 -0.001580
  0.984290 -0.000920
  0.991140 -0.000460
  0.996060 -0.000180
  0.999010 -0.000040
  1.000000  0.000000
