E210  (13.64%)
       32.       30.

  0.001920  0.006640
  0.008200  0.016300
  0.018740  0.026750
  0.033440  0.037550
  0.052200  0.048360
  0.074850  0.058900
  0.101190  0.068930
  0.130990  0.078220
  0.163950  0.086560
  0.199760  0.093750
  0.238050  0.099520
  0.278570  0.103600
  0.321150  0.105830
  0.365560  0.106190
  0.411570  0.104700
  0.458900  0.101480
  0.507290  0.096770
  0.556300  0.090930
  0.605320  0.084270
  0.653740  0.076980
  0.700960  0.069280
  0.746400  0.061330
  0.789480  0.053290
  0.829660  0.045310
  0.866430  0.037520
  0.899300  0.030030
  0.927800  0.022850
  0.951770  0.015870
  0.971390  0.009360
  0.986570  0.004140
  0.996490  0.000990
  1.000000  0.000000

  0.001920  0.006640
  0.000110 -0.001420
  0.004150 -0.007860
  0.014390 -0.013630
  0.029860 -0.018840
  0.050400 -0.023270
  0.075850 -0.026860
  0.105960 -0.029610
  0.140430 -0.031500
  0.178890 -0.032560
  0.220920 -0.032820
  0.266040 -0.032260
  0.313700 -0.030900
  0.363330 -0.028580
  0.414670 -0.024990
  0.467780 -0.020340
  0.522280 -0.015290
  0.577380 -0.010330
  0.632270 -0.005740
  0.686100 -0.001750
  0.738070  0.001500
  0.787350  0.003900
  0.833170  0.005410
  0.874780  0.006030
  0.911460  0.005820
  0.942530  0.004860
  0.967330  0.003400
  0.985360  0.001810
  0.996320  0.000510
  1.000000  0.000000
