NACA 64A410
       26.       26.

  0.000000  0.000000
  0.003500  0.009020
  0.005820  0.011120
  0.010590  0.014510
  0.022760  0.020950
  0.047490  0.030340
  0.072300  0.038650
  0.097370  0.043800
  0.147480  0.053660
  0.197700  0.061260
  0.248000  0.067050
  0.298340  0.071310
  0.348710  0.074140
  0.399100  0.075520
  0.449500  0.075220
  0.499890  0.073440
  0.550250  0.070400
  0.600570  0.066240
  0.650850  0.061060
  0.701080  0.054800
  0.751260  0.047800
  0.801510  0.039670
  0.851480  0.030180
  0.901040  0.020380
  0.950530  0.010280
  1.000000  0.000210

  0.000000  0.000000
  0.006500 -0.006780
  0.009180 -0.007960
  0.014410 -0.009690
  0.027240 -0.012510
  0.052510 -0.015920
  0.077700 -0.019190
  0.102630 -0.019960
  0.152520 -0.022440
  0.202300 -0.024060
  0.252000 -0.024990
  0.301660 -0.025370
  0.351290 -0.025180
  0.400900 -0.024360
  0.450500 -0.022660
  0.500110 -0.020240
  0.549750 -0.017360
  0.599430 -0.014180
  0.649150 -0.010860
  0.698920 -0.007600
  0.748740 -0.004600
  0.798490 -0.002290
  0.848520 -0.001320
  0.898960 -0.000760
  0.949470 -0.000480
  1.000000 -0.000210
