FX 84-W-150
       49.       49.

  0.000000  0.001310
  0.001070  0.007290
  0.004280  0.013790
  0.009610  0.020640
  0.017040  0.027750
  0.026530  0.035160
  0.038060  0.042770
  0.051560  0.050490
  0.066990  0.058230
  0.084270  0.065900
  0.103320  0.073390
  0.124080  0.080580
  0.146450  0.087350
  0.170330  0.093600
  0.195620  0.099290
  0.222210  0.104390
  0.250000  0.108720
  0.278860  0.112260
  0.308660  0.114940
  0.339280  0.116650
  0.370590  0.117450
  0.402450  0.117250
  0.434740  0.116080
  0.467300  0.114000
  0.500000  0.110960
  0.532700  0.107070
  0.565260  0.102410
  0.597550  0.097000
  0.629410  0.091000
  0.660720  0.084500
  0.691340  0.077590
  0.721140  0.070440
  0.750000  0.063150
  0.777790  0.055850
  0.804380  0.048700
  0.829670  0.041780
  0.853550  0.035220
  0.875920  0.029100
  0.896680  0.023510
  0.915730  0.018500
  0.933010  0.014110
  0.948440  0.010360
  0.961940  0.007240
  0.973470  0.004750
  0.982960  0.002850
  0.990390  0.001500
  0.995720  0.000620
  0.998930  0.000140
  1.000000  0.000000

  0.000000  0.001310
  0.001070 -0.004130
  0.004280 -0.009000
  0.009610 -0.013430
  0.017040 -0.017430
  0.026530 -0.020900
  0.038060 -0.023890
  0.051560 -0.026430
  0.066990 -0.028550
  0.084270 -0.030280
  0.103320 -0.031650
  0.124080 -0.032710
  0.146450 -0.033480
  0.170330 -0.034000
  0.195620 -0.034290
  0.222210 -0.034390
  0.250000 -0.034320
  0.278860 -0.034090
  0.308660 -0.033700
  0.339280 -0.033150
  0.370590 -0.032440
  0.402450 -0.031560
  0.434740 -0.030510
  0.467300 -0.029290
  0.500000 -0.027880
  0.532700 -0.026290
  0.565260 -0.024520
  0.597550 -0.022580
  0.629410 -0.020490
  0.660720 -0.018280
  0.691340 -0.015980
  0.721140 -0.013660
  0.750000 -0.011350
  0.777790 -0.009100
  0.804380 -0.006980
  0.829670 -0.005020
  0.853550 -0.003290
  0.875920 -0.001810
  0.896680 -0.000610
  0.915730  0.000290
  0.933010  0.000910
  0.948440  0.001260
  0.961940  0.001360
  0.973470  0.001250
  0.982960  0.001010
  0.990390  0.000680
  0.995720  0.000340
  0.998930  0.000100
  1.000000  0.000000
