E211  (10.96%)
       31.       31.

  0.004440  0.008700
  0.013200  0.016680
  0.026400  0.024970
  0.043960  0.033250
  0.065760  0.041270
  0.091650  0.048850
  0.121400  0.055850
  0.154740  0.062140
  0.191360  0.067580
  0.230880  0.072070
  0.272920  0.075470
  0.317120  0.077620
  0.363170  0.078470
  0.410730  0.078010
  0.459420  0.076330
  0.508830  0.073500
  0.558540  0.069710
  0.608040  0.065180
  0.656740  0.060080
  0.704070  0.054570
  0.749450  0.048770
  0.792350  0.042800
  0.832260  0.036760
  0.868670  0.030760
  0.901150  0.024880
  0.929260  0.019120
  0.952870  0.013370
  0.972150  0.007900
  0.986980  0.003490
  0.996610  0.000830
  1.000000  0.000000

  0.004440  0.008700
  0.000180  0.001590
  0.001580 -0.004290
  0.008960 -0.009670
  0.021480 -0.014820
  0.039020 -0.019420
  0.061460 -0.023370
  0.088620 -0.026620
  0.120240 -0.029160
  0.156020 -0.030990
  0.195580 -0.032130
  0.238490 -0.032600
  0.284270 -0.032420
  0.332380 -0.031590
  0.382260 -0.030090
  0.433290 -0.027790
  0.485150 -0.024410
  0.537830 -0.020060
  0.590980 -0.015300
  0.643910 -0.010570
  0.695890 -0.006180
  0.746150 -0.002380
  0.793900  0.000640
  0.838340  0.002780
  0.878730  0.003980
  0.914320  0.004290
  0.944430  0.003810
  0.968440  0.002770
  0.985890  0.001520
  0.996460  0.000440
  1.000000  0.000000
