LWK 80-150/K25
       49.       49.

  0.000000  0.000000
  0.001070  0.006250
  0.004280  0.012200
  0.009610  0.017760
  0.017040  0.023120
  0.026530  0.028330
  0.038060  0.033350
  0.051560  0.038140
  0.066990  0.042670
  0.084270  0.046960
  0.103320  0.051000
  0.124080  0.054800
  0.146450  0.058340
  0.170330  0.061580
  0.195620  0.064520
  0.222210  0.067140
  0.250000  0.069430
  0.278860  0.071370
  0.308660  0.072930
  0.339280  0.074100
  0.370590  0.074860
  0.402450  0.075210
  0.434740  0.075110
  0.467300  0.074530
  0.500000  0.073420
  0.532700  0.071720
  0.565260  0.069370
  0.597550  0.066310
  0.629410  0.062500
  0.660720  0.057980
  0.691340  0.052860
  0.721140  0.047340
  0.750000  0.041600
  0.777790  0.035840
  0.804380  0.030270
  0.829670  0.025100
  0.853550  0.020460
  0.875920  0.016420
  0.896680  0.012970
  0.915730  0.010080
  0.933010  0.007710
  0.948440  0.005820
  0.961940  0.004330
  0.973470  0.003170
  0.982960  0.002330
  0.990390  0.001800
  0.995720  0.001420
  0.998930  0.001020
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.006250
  0.004280 -0.012200
  0.009610 -0.017760
  0.017040 -0.023120
  0.026530 -0.028330
  0.038060 -0.033350
  0.051560 -0.038140
  0.066990 -0.042670
  0.084270 -0.046960
  0.103320 -0.051000
  0.124080 -0.054800
  0.146450 -0.058340
  0.170330 -0.061580
  0.195620 -0.064520
  0.222210 -0.067140
  0.250000 -0.069430
  0.278860 -0.071370
  0.308660 -0.072930
  0.339280 -0.074100
  0.370590 -0.074860
  0.402450 -0.075210
  0.434740 -0.075110
  0.467300 -0.074530
  0.500000 -0.073420
  0.532700 -0.071720
  0.565260 -0.069370
  0.597550 -0.066310
  0.629410 -0.062500
  0.660720 -0.057980
  0.691340 -0.052860
  0.721140 -0.047340
  0.750000 -0.041600
  0.777790 -0.035840
  0.804380 -0.030270
  0.829670 -0.025100
  0.853550 -0.020460
  0.875920 -0.016420
  0.896680 -0.012970
  0.915730 -0.010080
  0.933010 -0.007710
  0.948440 -0.005820
  0.961940 -0.004330
  0.973470 -0.003170
  0.982960 -0.002330
  0.990390 -0.001800
  0.995720 -0.001420
  0.998930 -0.001020
  1.000000  0.000000
