AH 93-W-300
       49.       49.

  0.000000  0.000000
  0.001070  0.015170
  0.004280  0.031260
  0.009610  0.046880
  0.017040  0.060940
  0.026530  0.073360
  0.038060  0.084660
  0.051560  0.095220
  0.066990  0.105110
  0.084270  0.114280
  0.103320  0.122640
  0.124080  0.130100
  0.146450  0.136630
  0.170330  0.142190
  0.195620  0.146730
  0.222210  0.150190
  0.250000  0.152500
  0.278860  0.153690
  0.308660  0.153730
  0.339280  0.152650
  0.370590  0.150480
  0.402450  0.147320
  0.434740  0.143280
  0.467300  0.138470
  0.500000  0.132950
  0.532700  0.126780
  0.565260  0.120070
  0.597550  0.112930
  0.629410  0.105450
  0.660720  0.097730
  0.691340  0.089890
  0.721140  0.082040
  0.750000  0.074250
  0.777790  0.066630
  0.804380  0.059240
  0.829670  0.052140
  0.853550  0.045380
  0.875920  0.038980
  0.896680  0.033010
  0.915730  0.027490
  0.933010  0.022470
  0.948440  0.017940
  0.961940  0.013910
  0.973470  0.010340
  0.982960  0.007140
  0.990390  0.004480
  0.995720  0.002230
  0.998930  0.000840
  1.000000  0.000400

  0.000000  0.000000
  0.001070 -0.015920
  0.004280 -0.030350
  0.009610 -0.043730
  0.017040 -0.056000
  0.026530 -0.067260
  0.038060 -0.077730
  0.051560 -0.087640
  0.066990 -0.097070
  0.084270 -0.106040
  0.103320 -0.114400
  0.124080 -0.122040
  0.146450 -0.128850
  0.170330 -0.134670
  0.195620 -0.139380
  0.222210 -0.142910
  0.250000 -0.145190
  0.278860 -0.146150
  0.308660 -0.145780
  0.339280 -0.144060
  0.370590 -0.141010
  0.402450 -0.136680
  0.434740 -0.131200
  0.467300 -0.124660
  0.500000 -0.117230
  0.532700 -0.109220
  0.565260 -0.100850
  0.597550 -0.092270
  0.629410 -0.083680
  0.660720 -0.075220
  0.691340 -0.067040
  0.721140 -0.059240
  0.750000 -0.051900
  0.777790 -0.045120
  0.804380 -0.038900
  0.829670 -0.033300
  0.853550 -0.028350
  0.875920 -0.024090
  0.896680 -0.020520
  0.915730 -0.017670
  0.933010 -0.015510
  0.948440 -0.014000
  0.961940 -0.013100
  0.973470 -0.012720
  0.982960 -0.012780
  0.990390 -0.012980
  0.995720 -0.013370
  0.998930 -0.013620
  1.000000 -0.013690
