NACA 65-210
       26.       26.

  0.000000  0.000000
  0.004350  0.008190
  0.006780  0.009990
  0.011690  0.012730
  0.024080  0.017570
  0.048980  0.024910
  0.073940  0.030690
  0.098940  0.035550
  0.148990  0.043380
  0.199090  0.049380
  0.249210  0.053970
  0.299360  0.057320
  0.349510  0.059540
  0.399680  0.060670
  0.449840  0.060580
  0.500000  0.059150
  0.550140  0.056250
  0.600270  0.052170
  0.650360  0.047120
  0.700430  0.041280
  0.750450  0.034790
  0.800440  0.027830
  0.850380  0.020570
  0.900280  0.013270
  0.950140  0.006220
  1.000000  0.000000

  0.000000  0.000000
  0.005650 -0.007190
  0.008220 -0.008590
  0.013310 -0.010590
  0.025920 -0.013850
  0.051020 -0.018590
  0.076060 -0.022210
  0.101060 -0.025210
  0.151010 -0.029920
  0.200910 -0.033460
  0.250790 -0.036070
  0.300640 -0.037880
  0.350490 -0.038940
  0.400320 -0.039250
  0.450160 -0.038680
  0.500000 -0.037090
  0.549860 -0.034350
  0.599730 -0.030750
  0.649640 -0.026520
  0.699570 -0.021840
  0.749550 -0.016890
  0.799560 -0.011910
  0.849620 -0.007110
  0.899720 -0.002930
  0.949860  0.000100
  1.000000  0.000000
