NACA 0010-65
       17.       17.

  0.000000  0.000000
  0.012500  0.014670
  0.025000  0.019670
  0.050000  0.025890
  0.075000  0.029890
  0.100000  0.033000
  0.150000  0.037560
  0.200000  0.040890
  0.300000  0.045780
  0.400000  0.048890
  0.500000  0.050000
  0.600000  0.048670
  0.700000  0.043890
  0.800000  0.035000
  0.900000  0.021000
  0.950000  0.011780
  1.000000  0.001000

  0.000000  0.000000
  0.012500 -0.014670
  0.025000 -0.019670
  0.050000 -0.025890
  0.075000 -0.029890
  0.100000 -0.033000
  0.150000 -0.037560
  0.200000 -0.040890
  0.300000 -0.045780
  0.400000 -0.048890
  0.500000 -0.050000
  0.600000 -0.048670
  0.700000 -0.043890
  0.800000 -0.035000
  0.900000 -0.021000
  0.950000 -0.011780
  1.000000 -0.001000
