NACA 64-209
       26.       26.

  0.000000  0.000000
  0.004380  0.007860
  0.006800  0.009590
  0.011720  0.012320
  0.024110  0.017160
  0.049010  0.024230
  0.073980  0.029650
  0.098990  0.034130
  0.149050  0.041270
  0.199150  0.046630
  0.249270  0.050640
  0.299410  0.053450
  0.349560  0.055090
  0.399710  0.055610
  0.449860  0.054590
  0.500000  0.052390
  0.550120  0.049210
  0.600220  0.045230
  0.650300  0.040560
  0.700350  0.035330
  0.750360  0.029640
  0.800350  0.023600
  0.850300  0.017420
  0.900210  0.011280
  0.950110  0.005430
  1.000000  0.000000

  0.000000  0.000000
  0.005620 -0.006860
  0.008200 -0.008190
  0.013280 -0.011080
  0.025890 -0.013340
  0.050990 -0.017910
  0.076020 -0.021170
  0.101010 -0.023790
  0.150950 -0.027810
  0.200850 -0.030710
  0.250730 -0.032740
  0.300590 -0.034010
  0.350440 -0.034490
  0.400290 -0.034190
  0.450140 -0.032690
  0.500000 -0.030330
  0.549880 -0.027310
  0.599780 -0.023810
  0.649700 -0.019960
  0.699650 -0.015890
  0.749640 -0.011740
  0.799650 -0.007680
  0.849700 -0.003960
  0.899790 -0.000940
  0.949890  0.000890
  1.000000  0.000000
