FX 68-H-120
       49.       49.

  0.000000  0.000000
  0.001070  0.003620
  0.004280  0.008190
  0.009610  0.014230
  0.017040  0.021710
  0.026530  0.030130
  0.038060  0.038900
  0.051560  0.047420
  0.066990  0.055200
  0.084270  0.061830
  0.103320  0.067170
  0.124080  0.071380
  0.146450  0.074710
  0.170330  0.077340
  0.195620  0.079350
  0.222210  0.080740
  0.250000  0.081570
  0.278860  0.081870
  0.308660  0.081700
  0.339280  0.081120
  0.370590  0.080170
  0.402450  0.078870
  0.434740  0.077260
  0.467300  0.075360
  0.500000  0.073190
  0.532700  0.070750
  0.565260  0.067970
  0.597550  0.064750
  0.629410  0.061020
  0.660720  0.056780
  0.691340  0.052080
  0.721140  0.047030
  0.750000  0.041760
  0.777790  0.036370
  0.804380  0.030980
  0.829670  0.025760
  0.853550  0.020880
  0.875920  0.016460
  0.896680  0.012530
  0.915730  0.009120
  0.933010  0.006280
  0.948440  0.004050
  0.961940  0.002400
  0.973470  0.001270
  0.982960  0.000570
  0.990390  0.000200
  0.995720  0.000030
  0.998930  0.000060
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.003380
  0.004280 -0.007000
  0.009610 -0.010960
  0.017040 -0.015110
  0.026530 -0.019270
  0.038060 -0.023270
  0.051560 -0.026980
  0.066990 -0.030230
  0.084270 -0.032830
  0.103320 -0.034660
  0.124080 -0.035780
  0.146450 -0.036400
  0.170330 -0.036720
  0.195620 -0.036840
  0.222210 -0.036760
  0.250000 -0.036500
  0.278860 -0.036090
  0.308660 -0.035540
  0.339280 -0.034860
  0.370590 -0.034070
  0.402450 -0.033170
  0.434740 -0.032170
  0.467300 -0.031100
  0.500000 -0.029960
  0.532700 -0.028770
  0.565260 -0.027530
  0.597550 -0.026250
  0.629410 -0.024950
  0.660720 -0.023610
  0.691340 -0.022250
  0.721140 -0.020860
  0.750000 -0.019450
  0.777790 -0.018020
  0.804380 -0.016560
  0.829670 -0.015090
  0.853550 -0.013590
  0.875920 -0.012070
  0.896680 -0.010540
  0.915730 -0.009000
  0.933010 -0.007470
  0.948440 -0.005980
  0.961940 -0.004590
  0.973470 -0.003350
  0.982960 -0.002300
  0.990390 -0.001440
  0.995720 -0.000770
  0.998930 -0.000300
  1.000000  0.000000
