E61  (5.64%)
       33.       29.

  0.002210  0.005320
  0.008310  0.012430
  0.018500  0.020340
  0.032780  0.028700
  0.051120  0.037190
  0.073430  0.045570
  0.099570  0.053660
  0.129360  0.061270
  0.162560  0.068270
  0.198890  0.074520
  0.238030  0.079930
  0.279630  0.084410
  0.323290  0.087890
  0.368600  0.090310
  0.415120  0.091630
  0.462400  0.091820
  0.509970  0.090830
  0.557420  0.088610
  0.604390  0.085170
  0.650520  0.080610
  0.695460  0.075100
  0.738760  0.068840
  0.779960  0.062050
  0.818610  0.054860
  0.854260  0.047440
  0.886540  0.039920
  0.915070  0.032460
  0.939510  0.025100
  0.959780  0.017770
  0.976190  0.010760
  0.988820  0.004950
  0.997070  0.001240
  1.000000  0.000000

  0.002210  0.005320
  0.000010 -0.000290
  0.002850 -0.003290
  0.011700 -0.004210
  0.026280 -0.003700
  0.046640 -0.001680
  0.072730  0.001590
  0.104420  0.005930
  0.141470  0.011020
  0.183540  0.016590
  0.230170  0.022330
  0.280820  0.027930
  0.334870  0.033100
  0.391640  0.037520
  0.450260  0.040860
  0.509740  0.042980
  0.569150  0.043890
  0.627670  0.043620
  0.684460  0.042190
  0.738730  0.039690
  0.789690  0.036190
  0.836610  0.031840
  0.878790  0.026770
  0.915590  0.021220
  0.946420  0.015330
  0.970500  0.009420
  0.987250  0.004350
  0.996880  0.001090
  1.000000  0.000000
