E203  (13.64%)
       31.       31.

  0.003440  0.008230
  0.011610  0.017100
  0.024270  0.026480
  0.041280  0.035970
  0.062500  0.045320
  0.087720  0.054300
  0.116710  0.062710
  0.149200  0.070390
  0.184860  0.077170
  0.223320  0.082890
  0.264190  0.087420
  0.307040  0.090550
  0.351540  0.092030
  0.397480  0.091750
  0.444600  0.089730
  0.492640  0.086040
  0.541300  0.080870
  0.590280  0.074520
  0.639100  0.067410
  0.687120  0.059880
  0.733690  0.052170
  0.778190  0.044500
  0.820000  0.037050
  0.858540  0.029950
  0.893250  0.023330
  0.923610  0.017230
  0.949320  0.011580
  0.970300  0.006600
  0.986250  0.002820
  0.996450  0.000660
  1.000000  0.000000

  0.003440  0.008230
  0.000020  0.000510
  0.002580 -0.006250
  0.011150 -0.012960
  0.024710 -0.019530
  0.043110 -0.025640
  0.066160 -0.031130
  0.093660 -0.035880
  0.125340 -0.039790
  0.160910 -0.042810
  0.199990 -0.044890
  0.242190 -0.045970
  0.287020 -0.046020
  0.333980 -0.044830
  0.382860 -0.042100
  0.433790 -0.037990
  0.486430 -0.033140
  0.540070 -0.028010
  0.593950 -0.022890
  0.647300 -0.017990
  0.699370 -0.013500
  0.749400 -0.009540
  0.796650 -0.006200
  0.840430 -0.003530
  0.880050 -0.001560
  0.914890 -0.000240
  0.944410  0.000510
  0.968130  0.000760
  0.985610  0.000600
  0.996360  0.000210
  1.000000  0.000000
