E471  (6.25%)
       32.       30.

  0.002920  0.005730
  0.010020  0.012380
  0.021410  0.019530
  0.037070  0.026880
  0.056950  0.034170
  0.080950  0.041210
  0.108880  0.047850
  0.140540  0.053970
  0.175660  0.059460
  0.213910  0.064250
  0.254930  0.068260
  0.298330  0.071430
  0.343680  0.073720
  0.390520  0.075080
  0.438400  0.075500
  0.486810  0.074940
  0.535270  0.073390
  0.583340  0.070770
  0.630650  0.067120
  0.676810  0.062520
  0.721440  0.057120
  0.764140  0.051080
  0.804530  0.044610
  0.842170  0.037970
  0.876600  0.031350
  0.907370  0.024920
  0.934070  0.018780
  0.956490  0.012930
  0.974630  0.007630
  0.988310  0.003440
  0.996990  0.000850
  1.000000  0.000000

  0.002920  0.005730
  0.000010  0.000230
  0.002390 -0.003420
  0.010710 -0.005800
  0.024390 -0.007320
  0.043440 -0.007770
  0.067770 -0.007220
  0.097260 -0.005740
  0.131710 -0.003470
  0.170800 -0.000590
  0.214170  0.002700
  0.261320  0.006210
  0.311710  0.009750
  0.364720  0.013160
  0.419710  0.016270
  0.475970  0.018940
  0.532790  0.021050
  0.589400  0.022520
  0.645070  0.023280
  0.699020  0.023300
  0.750540  0.022560
  0.798890  0.021120
  0.843410  0.019020
  0.883460  0.016350
  0.918440  0.013220
  0.947830  0.009750
  0.970960  0.006100
  0.987300  0.002870
  0.996870  0.000720
  1.000000  0.000000
