E392  (10.15%)
       32.       30.

  0.000800  0.003150
  0.006070  0.010680
  0.015640  0.019130
  0.029420  0.027990
  0.047380  0.036900
  0.069380  0.045650
  0.095250  0.054010
  0.124760  0.061810
  0.157650  0.068890
  0.193590  0.075090
  0.232220  0.080270
  0.273160  0.084290
  0.315980  0.086940
  0.360370  0.088000
  0.406130  0.087360
  0.453010  0.085060
  0.500730  0.081190
  0.549000  0.075920
  0.597510  0.069540
  0.645810  0.062470
  0.693250  0.055050
  0.739220  0.047510
  0.783110  0.040060
  0.824320  0.032890
  0.862300  0.026150
  0.896490  0.019960
  0.926410  0.014400
  0.951690  0.009490
  0.972080  0.005370
  0.987270  0.002330
  0.996760  0.000560
  1.000000  0.000000

  0.000800  0.003150
  0.000650 -0.002540
  0.006310 -0.006960
  0.017560 -0.010900
  0.034130 -0.014070
  0.055880 -0.016410
  0.082680 -0.017930
  0.114280 -0.018700
  0.150390 -0.018790
  0.190600 -0.018290
  0.234490 -0.017280
  0.281550 -0.015830
  0.331220 -0.013980
  0.382970 -0.011750
  0.436320 -0.009200
  0.490710 -0.006460
  0.545590 -0.003700
  0.600290 -0.001120
  0.654080  0.001130
  0.706250  0.002960
  0.756080  0.004320
  0.802890  0.005160
  0.846030  0.005490
  0.884890  0.005330
  0.918890  0.004740
  0.947530  0.003770
  0.970310  0.002540
  0.986770  0.001290
  0.996690  0.000350
  1.000000  0.000000
