S8038 (13%)
       41.       41.

  0.001100  0.004710
  0.004410  0.011710
  0.009960  0.018780
  0.017970  0.025680
  0.028450  0.032420
  0.041350  0.038690
  0.056810  0.044450
  0.074790  0.049790
  0.095170  0.054640
  0.117890  0.058990
  0.142800  0.062840
  0.169750  0.066180
  0.198570  0.068980
  0.229090  0.071170
  0.261150  0.072740
  0.294560  0.073680
  0.329170  0.073930
  0.364810  0.073490
  0.401260  0.072380
  0.438400  0.070570
  0.476080  0.068140
  0.514060  0.065110
  0.552200  0.061540
  0.590310  0.057560
  0.628130  0.053250
  0.665470  0.048700
  0.702070  0.044060
  0.737650  0.039410
  0.771940  0.034820
  0.804670  0.030370
  0.835590  0.026110
  0.864450  0.022080
  0.891020  0.018320
  0.915060  0.014850
  0.936390  0.011680
  0.954780  0.008810
  0.970120  0.006160
  0.982420  0.003680
  0.991750  0.001620
  0.997830  0.000350
  1.000000  0.000000

  0.001100  0.004710
  0.000130 -0.001570
  0.002460 -0.007010
  0.008390 -0.012270
  0.017260 -0.017600
  0.028960 -0.022840
  0.043310 -0.027910
  0.060270 -0.032700
  0.079740 -0.037160
  0.101590 -0.041220
  0.125740 -0.044830
  0.152050 -0.048000
  0.180380 -0.050650
  0.210590 -0.052790
  0.242500 -0.054420
  0.275920 -0.055500
  0.310680 -0.056060
  0.346570 -0.056070
  0.383370 -0.055540
  0.420860 -0.054470
  0.458840 -0.052810
  0.497170 -0.050560
  0.535570 -0.047750
  0.573990 -0.044350
  0.612390 -0.040510
  0.650480 -0.036450
  0.687990 -0.032300
  0.724640 -0.028190
  0.760140 -0.024200
  0.794190 -0.020430
  0.826510 -0.016940
  0.856800 -0.013780
  0.884790 -0.010990
  0.910210 -0.008570
  0.932800 -0.006510
  0.952340 -0.004770
  0.968650 -0.003260
  0.981710 -0.001860
  0.991510 -0.000740
  0.997790 -0.000120
  1.000000  0.000000
