NACA 64(1)-112
       26.       26.

  0.000000  0.000000
  0.004590  0.010020
  0.007040  0.012130
  0.011980  0.015430
  0.024410  0.021270
  0.049340  0.029670
  0.074320  0.036050
  0.099320  0.041280
  0.149360  0.049560
  0.199430  0.055710
  0.249510  0.060240
  0.299610  0.063300
  0.349710  0.064930
  0.399810  0.065170
  0.449910  0.063460
  0.500000  0.060320
  0.550080  0.056040
  0.600150  0.050840
  0.650200  0.044890
  0.700230  0.038360
  0.750240  0.031430
  0.800220  0.024270
  0.850190  0.017180
  0.900140  0.010440
  0.950070  0.004460
  1.000000  0.000000

  0.000000  0.000000
  0.005410 -0.009520
  0.007960 -0.011430
  0.013020 -0.014350
  0.025590 -0.019410
  0.050660 -0.026510
  0.075680 -0.031810
  0.100680 -0.036120
  0.150640 -0.042840
  0.200570 -0.047750
  0.250490 -0.051280
  0.300390 -0.053580
  0.350290 -0.054630
  0.400190 -0.054450
  0.450090 -0.052500
  0.500000 -0.049280
  0.549920 -0.045080
  0.599850 -0.040120
  0.649800 -0.034590
  0.699770 -0.028640
  0.749760 -0.022470
  0.799780 -0.016310
  0.849810 -0.010460
  0.899860 -0.005280
  0.949930 -0.001300
  1.000000  0.000000
