NACA 66(4)-221
       26.       26.

  0.000000  0.000000
  0.003720  0.015700
  0.006100  0.018690
  0.010950  0.023420
  0.023230  0.032260
  0.048000  0.045800
  0.072910  0.056530
  0.097880  0.065650
  0.147970  0.080390
  0.198150  0.091700
  0.248400  0.100470
  0.298690  0.107090
  0.349000  0.111830
  0.399330  0.114780
  0.449670  0.115950
  0.500000  0.115370
  0.550320  0.112810
  0.600630  0.107630
  0.650870  0.098230
  0.701030  0.085810
  0.751090  0.071450
  0.801060  0.055910
  0.850920  0.039960
  0.900670  0.024400
  0.950340  0.010320
  1.000000  0.000000

  0.000000  0.000000
  0.006280 -0.014700
  0.008900 -0.017290
  0.014050 -0.021280
  0.026770 -0.028540
  0.052000 -0.039480
  0.077090 -0.048050
  0.102120 -0.055310
  0.152030 -0.066930
  0.201850 -0.075780
  0.251600 -0.082570
  0.301310 -0.087650
  0.351000 -0.091230
  0.400670 -0.093390
  0.450330 -0.094050
  0.500000 -0.093310
  0.549680 -0.090910
  0.599370 -0.086210
  0.649130 -0.077630
  0.698970 -0.066370
  0.748910 -0.053550
  0.798940 -0.039990
  0.849080 -0.026500
  0.899330 -0.014060
  0.949660 -0.004000
  1.000000  0.000000
