FX 77-W-121
       49.       49.

  0.000000  0.000000
  0.001070  0.005180
  0.004280  0.010640
  0.009610  0.017060
  0.017040  0.024340
  0.026530  0.032230
  0.038060  0.040400
  0.051560  0.048640
  0.066990  0.056880
  0.084270  0.064820
  0.103320  0.072500
  0.124080  0.079630
  0.146450  0.086110
  0.170330  0.091760
  0.195620  0.096650
  0.222210  0.100670
  0.250000  0.103800
  0.278860  0.105840
  0.308660  0.106700
  0.339280  0.106020
  0.370590  0.103620
  0.402450  0.099160
  0.434740  0.093870
  0.467300  0.088150
  0.500000  0.082100
  0.532700  0.075910
  0.565260  0.069680
  0.597550  0.063530
  0.629410  0.057430
  0.660720  0.051570
  0.691340  0.045880
  0.721140  0.040580
  0.750000  0.035500
  0.777790  0.030860
  0.804380  0.026450
  0.829670  0.022520
  0.853550  0.018740
  0.875920  0.015560
  0.896680  0.012920
  0.915730  0.009960
  0.933010  0.007630
  0.948440  0.005630
  0.961940  0.004000
  0.973470  0.002720
  0.982960  0.001810
  0.990390  0.001220
  0.995720  0.000900
  0.998930  0.000860
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.002720
  0.004280 -0.005740
  0.009610 -0.008240
  0.017040 -0.010160
  0.026530 -0.011510
  0.038060 -0.012660
  0.051560 -0.013530
  0.066990 -0.014220
  0.084270 -0.014680
  0.103320 -0.015040
  0.124080 -0.015210
  0.146450 -0.015320
  0.170330 -0.015290
  0.195620 -0.015220
  0.222210 -0.015040
  0.250000 -0.014870
  0.278860 -0.014580
  0.308660 -0.014340
  0.339280 -0.014020
  0.370590 -0.013780
  0.402450 -0.013510
  0.434740 -0.013290
  0.467300 -0.013000
  0.500000 -0.012760
  0.532700 -0.012520
  0.565260 -0.012330
  0.597550 -0.012270
  0.629410 -0.012250
  0.660720 -0.012250
  0.691340 -0.012150
  0.721140 -0.012040
  0.750000 -0.011840
  0.777790 -0.011640
  0.804380 -0.011280
  0.829670 -0.010930
  0.853550 -0.010390
  0.875920 -0.009870
  0.896680 -0.009060
  0.915730 -0.008380
  0.933010 -0.007420
  0.948440 -0.006350
  0.961940 -0.005180
  0.973470 -0.004030
  0.982960 -0.002990
  0.990390 -0.002100
  0.995720 -0.001450
  0.998930 -0.001000
  1.000000  0.000000
