FX 78-K-150/20
       49.       49.

  0.000000  0.000000
  0.001070  0.004240
  0.004280  0.008530
  0.009610  0.013540
  0.017040  0.019220
  0.026530  0.025520
  0.038060  0.032250
  0.051560  0.039340
  0.066990  0.046630
  0.084270  0.054070
  0.103320  0.061520
  0.124080  0.068910
  0.146450  0.076100
  0.170330  0.083100
  0.195620  0.089720
  0.222210  0.095910
  0.250000  0.101490
  0.278860  0.106420
  0.308660  0.110580
  0.339280  0.113970
  0.370590  0.116500
  0.402450  0.118160
  0.434740  0.118850
  0.467300  0.118510
  0.500000  0.117000
  0.532700  0.114210
  0.565260  0.110060
  0.597550  0.104400
  0.629410  0.097240
  0.660720  0.088750
  0.691340  0.079380
  0.721140  0.069630
  0.750000  0.060020
  0.777790  0.050880
  0.804380  0.042870
  0.829670  0.036240
  0.853550  0.030830
  0.875920  0.025960
  0.896680  0.021450
  0.915730  0.017320
  0.933010  0.013690
  0.948440  0.010560
  0.961940  0.007920
  0.973470  0.005730
  0.982960  0.003950
  0.990390  0.002570
  0.995720  0.001620
  0.998930  0.001060
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.003620
  0.004280 -0.007290
  0.009610 -0.010920
  0.017040 -0.014270
  0.026530 -0.017260
  0.038060 -0.019830
  0.051560 -0.022040
  0.066990 -0.023960
  0.084270 -0.025670
  0.103320 -0.027140
  0.124080 -0.028420
  0.146450 -0.029470
  0.170330 -0.030380
  0.195620 -0.031110
  0.222210 -0.031680
  0.250000 -0.032100
  0.278860 -0.032390
  0.308660 -0.032530
  0.339280 -0.032590
  0.370590 -0.032550
  0.402450 -0.032450
  0.434740 -0.032230
  0.467300 -0.031910
  0.500000 -0.031460
  0.532700 -0.030840
  0.565260 -0.030110
  0.597550 -0.029210
  0.629410 -0.028140
  0.660720 -0.026820
  0.691340 -0.025280
  0.721140 -0.023410
  0.750000 -0.021230
  0.777790 -0.018600
  0.804380 -0.015560
  0.829670 -0.011980
  0.853550 -0.008760
  0.875920 -0.006160
  0.896680 -0.004160
  0.915730 -0.002610
  0.933010 -0.001540
  0.948440 -0.000890
  0.961940 -0.000620
  0.973470 -0.000620
  0.982960 -0.000800
  0.990390 -0.000990
  0.995720 -0.001070
  0.998930 -0.000980
  1.000000  0.000000
