FX 84-W-140
       49.       49.

  0.000000  0.000000
  0.001070  0.005640
  0.004280  0.011800
  0.009610  0.018320
  0.017040  0.025100
  0.026530  0.032200
  0.038060  0.039500
  0.051560  0.046930
  0.066990  0.054390
  0.084270  0.061790
  0.103320  0.069050
  0.124080  0.076010
  0.146450  0.082580
  0.170330  0.088670
  0.195620  0.094210
  0.222210  0.099180
  0.250000  0.103420
  0.278860  0.106900
  0.308660  0.109550
  0.339280  0.111270
  0.370590  0.112100
  0.402450  0.111980
  0.434740  0.110920
  0.467300  0.108980
  0.500000  0.106120
  0.532700  0.102440
  0.565260  0.098010
  0.597550  0.092860
  0.629410  0.087150
  0.660720  0.080950
  0.691340  0.074360
  0.721140  0.067530
  0.750000  0.060570
  0.777790  0.053600
  0.804380  0.046770
  0.829670  0.040150
  0.853550  0.033860
  0.875920  0.028010
  0.896680  0.022640
  0.915730  0.017840
  0.933010  0.013620
  0.948440  0.010010
  0.961940  0.007010
  0.973470  0.004610
  0.982960  0.002780
  0.990390  0.001460
  0.995720  0.000600
  0.998930  0.000140
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.005090
  0.004280 -0.009610
  0.009610 -0.013690
  0.017040 -0.017340
  0.026530 -0.020470
  0.038060 -0.023130
  0.051560 -0.025340
  0.066990 -0.027140
  0.084270 -0.028560
  0.103320 -0.029640
  0.124080 -0.030420
  0.146450 -0.030940
  0.170330 -0.031220
  0.195620 -0.031300
  0.222210 -0.031210
  0.250000 -0.030970
  0.278860 -0.030600
  0.308660 -0.030100
  0.339280 -0.029480
  0.370590 -0.028720
  0.402450 -0.027840
  0.434740 -0.026820
  0.467300 -0.025650
  0.500000 -0.024330
  0.532700 -0.022860
  0.565260 -0.021240
  0.597550 -0.019480
  0.629410 -0.017590
  0.660720 -0.015610
  0.691340 -0.013560
  0.721140 -0.011480
  0.750000 -0.009420
  0.777790 -0.007420
  0.804380 -0.005550
  0.829670 -0.003830
  0.853550 -0.002310
  0.875920 -0.001030
  0.896680 -0.000010
  0.915730  0.000730
  0.933010  0.001220
  0.948440  0.001470
  0.961940  0.001490
  0.973470  0.001330
  0.982960  0.001040
  0.990390  0.000690
  0.995720  0.000340
  0.998930  0.000100
  1.000000  0.000000
