NACA 16-015
       17.       17.

  0.000000  0.000000
  0.012500  0.016150
  0.025000  0.022570
  0.050000  0.031370
  0.075000  0.037900
  0.100000  0.043220
  0.150000  0.051680
  0.200000  0.058300
  0.300000  0.067720
  0.400000  0.073180
  0.500000  0.075000
  0.600000  0.072930
  0.700000  0.065870
  0.800000  0.052480
  0.900000  0.031470
  0.950000  0.017680
  1.000000  0.001500

  0.000000  0.000000
  0.012500 -0.016150
  0.025000 -0.022570
  0.050000 -0.031370
  0.075000 -0.037900
  0.100000 -0.043220
  0.150000 -0.051680
  0.200000 -0.058300
  0.300000 -0.067720
  0.400000 -0.073180
  0.500000 -0.075000
  0.600000 -0.072930
  0.700000 -0.065870
  0.800000 -0.052480
  0.900000 -0.031470
  0.950000 -0.017680
  1.000000 -0.001500
