NACA 65-206
       26.       26.

  0.000000  0.000000
  0.004600  0.005240
  0.007060  0.006420
  0.012000  0.008220
  0.024440  0.011400
  0.049390  0.016250
  0.074370  0.020120
  0.099360  0.023400
  0.149390  0.028690
  0.199450  0.032770
  0.249530  0.035920
  0.299620  0.038240
  0.349710  0.039820
  0.399810  0.040690
  0.449900  0.040780
  0.500000  0.040030
  0.550090  0.038360
  0.600160  0.035890
  0.650220  0.032760
  0.700260  0.029070
  0.750280  0.024890
  0.800270  0.020290
  0.850240  0.015380
  0.900180  0.010270
  0.950090  0.005110
  1.000000  0.000000

  0.000000  0.000000
  0.005400 -0.004240
  0.007940 -0.005020
  0.013000 -0.006080
  0.025560 -0.007680
  0.050610 -0.009930
  0.075630 -0.011640
  0.100640 -0.013060
  0.150610 -0.015230
  0.200550 -0.016850
  0.250470 -0.018020
  0.300380 -0.018800
  0.350290 -0.019220
  0.400190 -0.019270
  0.450100 -0.018880
  0.500000 -0.017970
  0.549910 -0.016460
  0.599840 -0.014470
  0.649780 -0.012160
  0.699740 -0.009630
  0.749720 -0.006990
  0.799730 -0.004370
  0.849760 -0.001920
  0.899820  0.000070
  0.949910  0.001210
  1.000000  0.000000
