NACA 64(2)-415
       26.       26.

  0.000000  0.000000
  0.002990  0.012910
  0.005260  0.015790
  0.009960  0.020380
  0.022070  0.028830
  0.046730  0.041210
  0.071620  0.050750
  0.096620  0.058640
  0.146810  0.071220
  0.197140  0.080660
  0.247560  0.087710
  0.298030  0.092600
  0.348530  0.095410
  0.399040  0.096140
  0.449540  0.094140
  0.500000  0.090160
  0.550400  0.084560
  0.600870  0.077620
  0.650960  0.069540
  0.701110  0.060550
  0.751150  0.050840
  0.801090  0.040620
  0.850920  0.030200
  0.900660  0.019820
  0.950320  0.009760
  1.000000  0.000000

  0.000000  0.000000
  0.007010 -0.010910
  0.009740 -0.012990
  0.015040 -0.016100
  0.027930 -0.021390
  0.053270 -0.028570
  0.078380 -0.033790
  0.103380 -0.037960
  0.153190 -0.044300
  0.202860 -0.048820
  0.252440 -0.051910
  0.301970 -0.053720
  0.351470 -0.054210
  0.400960 -0.053300
  0.450460 -0.050340
  0.500000 -0.046040
  0.549600 -0.040760
  0.599280 -0.034780
  0.649040 -0.028340
  0.698890 -0.021670
  0.748850 -0.015040
  0.798970 -0.008780
  0.849080 -0.003280
  0.899340  0.000860
  0.949680  0.002880
  1.000000  0.000000
