FX 73-CL3-152
       49.       49.

  0.000000  0.000000
  0.001070  0.008310
  0.004280  0.017480
  0.009610  0.027630
  0.017040  0.038310
  0.026530  0.049320
  0.038060  0.060540
  0.051560  0.071650
  0.066990  0.082550
  0.084270  0.093160
  0.103320  0.103370
  0.124080  0.113080
  0.146450  0.122090
  0.170330  0.130090
  0.195620  0.136810
  0.222210  0.142120
  0.250000  0.146110
  0.278860  0.148720
  0.308660  0.149760
  0.339280  0.149200
  0.370590  0.147210
  0.402450  0.144200
  0.434740  0.140450
  0.467300  0.136080
  0.500000  0.131190
  0.532700  0.125840
  0.565260  0.120120
  0.597550  0.114080
  0.629410  0.107760
  0.660720  0.101200
  0.691340  0.094400
  0.721140  0.087260
  0.750000  0.079640
  0.777790  0.071570
  0.804380  0.063300
  0.829670  0.055160
  0.853550  0.047330
  0.875920  0.039940
  0.896680  0.033130
  0.915730  0.026980
  0.933010  0.021500
  0.948440  0.016640
  0.961940  0.012390
  0.973470  0.008790
  0.982960  0.005810
  0.990390  0.003460
  0.995720  0.001710
  0.998930  0.000580
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.007400
  0.004280 -0.013910
  0.009610 -0.019340
  0.017040 -0.023120
  0.026530 -0.025510
  0.038060 -0.026890
  0.051560 -0.027500
  0.066990 -0.027510
  0.084270 -0.026840
  0.103320 -0.025480
  0.124080 -0.023440
  0.146450 -0.020810
  0.170330 -0.017650
  0.195620 -0.014040
  0.222210 -0.010050
  0.250000 -0.005830
  0.278860 -0.001500
  0.308660  0.002880
  0.339280  0.007280
  0.370590  0.011620
  0.402450  0.015810
  0.434740  0.019750
  0.467300  0.023400
  0.500000  0.026740
  0.532700  0.029730
  0.565260  0.032290
  0.597550  0.034370
  0.629410  0.035910
  0.660720  0.036840
  0.691340  0.037150
  0.721140  0.036710
  0.750000  0.035360
  0.777790  0.033060
  0.804380  0.030020
  0.829670  0.026570
  0.853550  0.023080
  0.875920  0.019650
  0.896680  0.016300
  0.915730  0.013110
  0.933010  0.010120
  0.948440  0.007450
  0.961940  0.005150
  0.973470  0.003190
  0.982960  0.001620
  0.990390  0.000500
  0.995720 -0.000150
  0.998930 -0.000280
  1.000000  0.000000
