AS5048 (18%)
       41.       41.

  0.002400  0.010030
  0.007210  0.018050
  0.014540  0.026250
  0.024380  0.034440
  0.036740  0.042540
  0.051460  0.050410
  0.068520  0.057920
  0.087850  0.065020
  0.109360  0.071520
  0.133090  0.077390
  0.158910  0.082710
  0.186630  0.087470
  0.216030  0.091610
  0.246950  0.095050
  0.279240  0.097760
  0.312750  0.099720
  0.347250  0.100940
  0.382510  0.101400
  0.418320  0.101060
  0.454450  0.099860
  0.490710  0.097760
  0.526880  0.094680
  0.562840  0.090440
  0.598510  0.084920
  0.634280  0.078120
  0.670630  0.070450
  0.707080  0.062810
  0.743040  0.055630
  0.777930  0.049060
  0.811140  0.043140
  0.842310  0.037730
  0.871110  0.032800
  0.897320  0.028220
  0.920720  0.023960
  0.941120  0.019900
  0.958370  0.015950
  0.972710  0.011980
  0.984290  0.008340
  0.992610  0.005260
  0.997950  0.002610
  1.000000  0.001500

  0.002400  0.010030
  0.000140  0.002390
  0.000410 -0.004240
  0.004410 -0.009900
  0.012480 -0.015560
  0.023770 -0.021500
  0.037980 -0.027650
  0.054820 -0.033900
  0.074120 -0.040080
  0.095740 -0.046060
  0.119510 -0.051740
  0.145320 -0.056990
  0.173060 -0.061770
  0.202560 -0.066030
  0.233660 -0.069760
  0.266130 -0.072900
  0.299800 -0.075400
  0.334440 -0.077220
  0.369860 -0.078310
  0.405830 -0.078640
  0.442120 -0.078170
  0.478460 -0.076740
  0.514760 -0.074220
  0.550880 -0.070460
  0.587020 -0.065290
  0.623340 -0.058930
  0.659960 -0.051650
  0.697170 -0.044050
  0.734230 -0.036980
  0.770290 -0.030770
  0.804890 -0.025310
  0.837590 -0.020550
  0.868000 -0.016500
  0.895750 -0.013090
  0.920480 -0.010210
  0.941850 -0.007630
  0.960180 -0.004710
  0.976080 -0.002040
  0.988860 -0.000900
  0.997130 -0.001090
  1.000000 -0.001490
