AH 81-K-144/17
       49.       49.

  0.000000  0.000370
  0.001070  0.005050
  0.004280  0.010330
  0.009610  0.016010
  0.017040  0.022120
  0.026530  0.028720
  0.038060  0.035630
  0.051560  0.042760
  0.066990  0.050010
  0.084270  0.057280
  0.103320  0.064470
  0.124080  0.071490
  0.146450  0.078240
  0.170330  0.084640
  0.195620  0.090570
  0.222210  0.095980
  0.250000  0.100800
  0.278860  0.104980
  0.308660  0.108460
  0.339280  0.111190
  0.370590  0.113110
  0.402450  0.114210
  0.434740  0.114440
  0.467300  0.113760
  0.500000  0.112120
  0.532700  0.109440
  0.565260  0.105620
  0.597550  0.100550
  0.629410  0.094150
  0.660720  0.086490
  0.691340  0.077890
  0.721140  0.068820
  0.750000  0.059810
  0.777790  0.051330
  0.804380  0.043780
  0.829670  0.037310
  0.853550  0.031770
  0.875920  0.026840
  0.896680  0.022290
  0.915730  0.018120
  0.933010  0.014400
  0.948440  0.011160
  0.961940  0.008400
  0.973470  0.006090
  0.982960  0.004240
  0.990390  0.002870
  0.995720  0.001800
  0.998930  0.001130
  1.000000  0.000000

  0.000000  0.000370
  0.001070 -0.003680
  0.004280 -0.007170
  0.009610 -0.010440
  0.017040 -0.013680
  0.026530 -0.016730
  0.038060 -0.019480
  0.051560 -0.021940
  0.066990 -0.024110
  0.084270 -0.025960
  0.103320 -0.027490
  0.124080 -0.028720
  0.146450 -0.029680
  0.170330 -0.030430
  0.195620 -0.030990
  0.222210 -0.031360
  0.250000 -0.031560
  0.278860 -0.031600
  0.308660 -0.031500
  0.339280 -0.031270
  0.370590 -0.030910
  0.402450 -0.030420
  0.434740 -0.029790
  0.467300 -0.029030
  0.500000 -0.028130
  0.532700 -0.027120
  0.565260 -0.025990
  0.597550 -0.024740
  0.629410 -0.023360
  0.660720 -0.021850
  0.691340 -0.020180
  0.721140 -0.018290
  0.750000 -0.016120
  0.777790 -0.013650
  0.804380 -0.010920
  0.829670 -0.008150
  0.853550 -0.005630
  0.875920 -0.003560
  0.896680 -0.002010
  0.915730 -0.000910
  0.933010 -0.000220
  0.948440  0.000120
  0.961940  0.000170
  0.973470  0.000010
  0.982960 -0.000250
  0.990390 -0.000590
  0.995720 -0.000780
  0.998930 -0.000870
  1.000000  0.000000
