E180  (8.59%)
       31.       31.

  0.001250  0.003440
  0.007460  0.009830
  0.018120  0.016840
  0.033150  0.023980
  0.052510  0.030990
  0.076050  0.037680
  0.103590  0.043910
  0.134870  0.049550
  0.169590  0.054480
  0.207410  0.058600
  0.247930  0.061820
  0.290740  0.064010
  0.335360  0.065020
  0.381470  0.064620
  0.428850  0.062730
  0.477230  0.059430
  0.526330  0.054840
  0.575840  0.049180
  0.625410  0.042780
  0.674540  0.036110
  0.722540  0.029520
  0.768720  0.023270
  0.812390  0.017550
  0.852920  0.012530
  0.889660  0.008320
  0.922030  0.005020
  0.949430  0.002670
  0.971280  0.001210
  0.987140  0.000420
  0.996770  0.000080
  1.000000  0.000000

  0.001250  0.003440
  0.000330 -0.001630
  0.005120 -0.005960
  0.015260 -0.010150
  0.030530 -0.013800
  0.050840 -0.016800
  0.076090 -0.019120
  0.106080 -0.020790
  0.140540 -0.021850
  0.179120 -0.022350
  0.221440 -0.022350
  0.267030 -0.021940
  0.315390 -0.021180
  0.365970 -0.020140
  0.418190 -0.018890
  0.471440 -0.017500
  0.525100 -0.016000
  0.578540 -0.014460
  0.631130 -0.012890
  0.682250 -0.011350
  0.731300 -0.009850
  0.777690 -0.008420
  0.820880 -0.007070
  0.860350 -0.005820
  0.895630 -0.004650
  0.926280 -0.003580
  0.951920 -0.002560
  0.972340 -0.001530
  0.987410 -0.000640
  0.996790 -0.000130
  1.000000  0.000000
