AH 80-140
       49.       49.

  0.000000  0.000000
  0.001070  0.008120
  0.004280  0.015110
  0.009610  0.022340
  0.017040  0.029750
  0.026530  0.037740
  0.038060  0.045840
  0.051560  0.054210
  0.066990  0.062290
  0.084270  0.070240
  0.103320  0.077670
  0.124080  0.084700
  0.146450  0.091050
  0.170330  0.096910
  0.195620  0.101980
  0.222210  0.106350
  0.250000  0.109680
  0.278860  0.112000
  0.308660  0.113120
  0.339280  0.113150
  0.370590  0.111840
  0.402450  0.109250
  0.434740  0.104970
  0.467300  0.099270
  0.500000  0.092560
  0.532700  0.085500
  0.565260  0.078220
  0.597550  0.071050
  0.629410  0.063950
  0.660720  0.057240
  0.691340  0.050820
  0.721140  0.044870
  0.750000  0.039270
  0.777790  0.034200
  0.804380  0.029530
  0.829670  0.025350
  0.853550  0.021520
  0.875920  0.018160
  0.896680  0.015110
  0.915730  0.012470
  0.933010  0.010080
  0.948440  0.008060
  0.961940  0.006250
  0.973470  0.004770
  0.982960  0.003470
  0.990390  0.002460
  0.995720  0.001610
  0.998930  0.000970
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.005870
  0.004280 -0.010640
  0.009610 -0.014760
  0.017040 -0.017980
  0.026530 -0.020650
  0.038060 -0.022570
  0.051560 -0.024230
  0.066990 -0.025400
  0.084270 -0.026440
  0.103320 -0.027100
  0.124080 -0.027660
  0.146450 -0.027920
  0.170330 -0.028120
  0.195620 -0.028040
  0.222210 -0.027870
  0.250000 -0.027480
  0.278860 -0.027080
  0.308660 -0.026510
  0.339280 -0.025950
  0.370590 -0.025230
  0.402450 -0.024540
  0.434740 -0.023690
  0.467300 -0.022800
  0.500000 -0.021750
  0.532700 -0.020660
  0.565260 -0.019390
  0.597550 -0.018120
  0.629410 -0.016720
  0.660720 -0.015360
  0.691340 -0.013920
  0.721140 -0.012520
  0.750000 -0.011070
  0.777790 -0.009670
  0.804380 -0.008280
  0.829670 -0.007030
  0.853550 -0.005820
  0.875920 -0.004790
  0.896680 -0.003820
  0.915730 -0.003060
  0.933010 -0.002390
  0.948440 -0.001930
  0.961940 -0.001520
  0.973470 -0.001280
  0.982960 -0.001080
  0.990390 -0.001010
  0.995720 -0.000930
  0.998930 -0.000800
  1.000000  0.000000
