SD7084 (9.6%)
       32.       30.

  0.000000 -0.000160
  0.002630  0.006310
  0.009850  0.014130
  0.021320  0.022560
  0.036870  0.031090
  0.056420  0.039340
  0.079860  0.046980
  0.107100  0.053740
  0.138040  0.059450
  0.172540  0.063990
  0.210420  0.067340
  0.251390  0.069550
  0.295050  0.070680
  0.340980  0.070740
  0.388740  0.069780
  0.437850  0.067860
  0.487830  0.065080
  0.538150  0.061510
  0.588290  0.057270
  0.637700  0.052450
  0.685840  0.047160
  0.732180  0.041520
  0.776190  0.035570
  0.817480  0.029380
  0.855750  0.023110
  0.890640  0.017080
  0.921720  0.011630
  0.948450  0.007060
  0.970260  0.003610
  0.986500  0.001390
  0.996580  0.000300
  1.000000  0.000000

  0.000000 -0.000160
  0.002940 -0.005510
  0.011670 -0.010310
  0.025750 -0.014400
  0.045120 -0.017860
  0.069550 -0.020710
  0.098760 -0.022950
  0.132450 -0.024580
  0.170300 -0.025600
  0.211900 -0.026070
  0.256800 -0.026010
  0.304520 -0.025470
  0.354550 -0.024480
  0.406330 -0.023120
  0.459310 -0.021430
  0.512890 -0.019510
  0.566470 -0.017410
  0.619430 -0.015200
  0.671160 -0.012980
  0.721050 -0.010790
  0.768520 -0.008730
  0.812960 -0.006850
  0.853790 -0.005220
  0.890470 -0.003840
  0.922500 -0.002720
  0.949420 -0.001820
  0.970880 -0.001050
  0.986710 -0.000390
  0.996610 -0.000060
  1.000010  0.000000
