FX 84-W-175
       49.       49.

  0.000000  0.000000
  0.001070  0.006960
  0.004280  0.014310
  0.009610  0.022100
  0.017040  0.030290
  0.026530  0.038760
  0.038060  0.047400
  0.051560  0.056120
  0.066990  0.064830
  0.084270  0.073420
  0.103320  0.081790
  0.124080  0.089800
  0.146450  0.097340
  0.170330  0.104320
  0.195620  0.110670
  0.222210  0.116320
  0.250000  0.121190
  0.278860  0.125160
  0.308660  0.128180
  0.339280  0.130190
  0.370590  0.131140
  0.402450  0.131030
  0.434740  0.129850
  0.467300  0.127620
  0.500000  0.124380
  0.532700  0.120160
  0.565260  0.115050
  0.597550  0.109120
  0.629410  0.102490
  0.660720  0.095260
  0.691340  0.087580
  0.721140  0.079580
  0.750000  0.071400
  0.777790  0.063200
  0.804380  0.055120
  0.829670  0.047310
  0.853550  0.039880
  0.875920  0.032950
  0.896680  0.026610
  0.915730  0.020920
  0.933010  0.015940
  0.948440  0.011690
  0.961940  0.008170
  0.973470  0.005360
  0.982960  0.003210
  0.990390  0.001680
  0.995720  0.000680
  0.998930  0.000160
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.006580
  0.004280 -0.012690
  0.009610 -0.018230
  0.017040 -0.023170
  0.026530 -0.027540
  0.038060 -0.031400
  0.051560 -0.034760
  0.066990 -0.037630
  0.084270 -0.040050
  0.103320 -0.042050
  0.124080 -0.043670
  0.146450 -0.044930
  0.170330 -0.045860
  0.195620 -0.046490
  0.222210 -0.046840
  0.250000 -0.046940
  0.278860 -0.046800
  0.308660 -0.046430
  0.339280 -0.045810
  0.370590 -0.044950
  0.402450 -0.043840
  0.434740 -0.042460
  0.467300 -0.040820
  0.500000 -0.038910
  0.532700 -0.036740
  0.565260 -0.034310
  0.597550 -0.031650
  0.629410 -0.028790
  0.660720 -0.025780
  0.691340 -0.022650
  0.721140 -0.019490
  0.750000 -0.016340
  0.777790 -0.013300
  0.804380 -0.010410
  0.829670 -0.007760
  0.853550 -0.005410
  0.875920 -0.003380
  0.896680 -0.001720
  0.915730 -0.000440
  0.933010  0.000470
  0.948440  0.001020
  0.961940  0.001260
  0.973470  0.001240
  0.982960  0.001030
  0.990390  0.000720
  0.995720  0.000370
  0.998930  0.000110
  1.000000  0.000000
