LWK 80-100
       49.       49.

  0.000000  0.000010
  0.001070  0.003700
  0.004280  0.007470
  0.009610  0.011360
  0.017040  0.015170
  0.026530  0.018840
  0.038060  0.022300
  0.051560  0.025530
  0.066990  0.028570
  0.084270  0.031440
  0.103320  0.034150
  0.124080  0.036690
  0.146450  0.039040
  0.170330  0.041210
  0.195620  0.043170
  0.222210  0.044920
  0.250000  0.046450
  0.278860  0.047730
  0.308660  0.048770
  0.339280  0.049560
  0.370590  0.050070
  0.402450  0.050310
  0.434740  0.050250
  0.467300  0.049880
  0.500000  0.049180
  0.532700  0.048110
  0.565260  0.046620
  0.597550  0.044660
  0.629410  0.042210
  0.660720  0.039280
  0.691340  0.035960
  0.721140  0.032380
  0.750000  0.028650
  0.777790  0.024910
  0.804380  0.021290
  0.829670  0.017920
  0.853550  0.014910
  0.875920  0.012270
  0.896680  0.009990
  0.915730  0.008040
  0.933010  0.006410
  0.948440  0.005050
  0.961940  0.003920
  0.973470  0.002990
  0.982960  0.002210
  0.990390  0.001610
  0.995720  0.001100
  0.998930  0.000800
  1.000000  0.000000

  0.000000  0.000010
  0.001070 -0.003700
  0.004280 -0.007500
  0.009610 -0.011390
  0.017040 -0.015210
  0.026530 -0.018850
  0.038060 -0.022290
  0.051560 -0.025530
  0.066990 -0.028570
  0.084270 -0.031440
  0.103320 -0.034150
  0.124080 -0.036690
  0.146450 -0.039040
  0.170330 -0.041210
  0.195620 -0.043170
  0.222210 -0.044920
  0.250000 -0.046450
  0.278860 -0.047730
  0.308660 -0.048770
  0.339280 -0.049560
  0.370590 -0.050070
  0.402450 -0.050310
  0.434740 -0.050250
  0.467300 -0.049880
  0.500000 -0.049180
  0.532700 -0.048110
  0.565260 -0.046620
  0.597550 -0.044660
  0.629410 -0.042210
  0.660720 -0.039280
  0.691340 -0.035960
  0.721140 -0.032380
  0.750000 -0.028650
  0.777790 -0.024910
  0.804380 -0.021290
  0.829670 -0.017920
  0.853550 -0.014910
  0.875920 -0.012270
  0.896680 -0.009990
  0.915730 -0.008040
  0.933010 -0.006410
  0.948440 -0.005050
  0.961940 -0.003920
  0.973470 -0.002990
  0.982960 -0.002210
  0.990390 -0.001610
  0.995720 -0.001100
  0.998930 -0.000800
  1.000000  0.000000
