AH 93-W-145
       49.       49.

  0.000000  0.000000
  0.001070  0.005330
  0.004280  0.011210
  0.009610  0.017740
  0.017040  0.024780
  0.026530  0.032160
  0.038060  0.039700
  0.051560  0.047270
  0.066990  0.054800
  0.084270  0.062180
  0.103320  0.069330
  0.124080  0.076170
  0.146450  0.082630
  0.170330  0.088640
  0.195620  0.094140
  0.222210  0.099040
  0.250000  0.103250
  0.278860  0.106680
  0.308660  0.109190
  0.339280  0.110660
  0.370590  0.110940
  0.402450  0.109960
  0.434740  0.107710
  0.467300  0.104270
  0.500000  0.099790
  0.532700  0.094540
  0.565260  0.088820
  0.597550  0.082860
  0.629410  0.076820
  0.660720  0.070750
  0.691340  0.064720
  0.721140  0.058800
  0.750000  0.053050
  0.777790  0.047510
  0.804380  0.042250
  0.829670  0.037300
  0.853550  0.032690
  0.875920  0.028380
  0.896680  0.024350
  0.915730  0.020560
  0.933010  0.016990
  0.948440  0.013640
  0.961940  0.010540
  0.973470  0.007750
  0.982960  0.005330
  0.990390  0.003300
  0.995720  0.001720
  0.998930  0.000670
  1.000000  0.000330

  0.000000  0.000000
  0.001070 -0.004960
  0.004280 -0.009640
  0.009610 -0.013940
  0.017040 -0.017870
  0.026530 -0.021380
  0.038060 -0.024420
  0.051560 -0.027020
  0.066990 -0.029210
  0.084270 -0.031010
  0.103320 -0.032460
  0.124080 -0.033560
  0.146450 -0.034360
  0.170330 -0.034890
  0.195620 -0.035210
  0.222210 -0.035350
  0.250000 -0.035310
  0.278860 -0.035100
  0.308660 -0.034730
  0.339280 -0.034170
  0.370590 -0.033420
  0.402450 -0.032490
  0.434740 -0.031370
  0.467300 -0.030070
  0.500000 -0.028600
  0.532700 -0.026980
  0.565260 -0.025230
  0.597550 -0.023360
  0.629410 -0.021400
  0.660720 -0.019370
  0.691340 -0.017280
  0.721140 -0.015160
  0.750000 -0.013030
  0.777790 -0.010900
  0.804380 -0.008820
  0.829670 -0.006850
  0.853550 -0.005060
  0.875920 -0.003480
  0.896680 -0.002150
  0.915730 -0.001140
  0.933010 -0.000480
  0.948440 -0.000160
  0.961940 -0.000120
  0.973470 -0.000300
  0.982960 -0.000640
  0.990390 -0.001020
  0.995720 -0.001350
  0.998930 -0.001570
  1.000000 -0.001620
