FX 84-W-127
       49.       49.

  0.000000  0.000000
  0.001070  0.005190
  0.004280  0.010840
  0.009610  0.016830
  0.017040  0.023100
  0.026530  0.029610
  0.038060  0.036300
  0.051560  0.043090
  0.066990  0.049900
  0.084270  0.056620
  0.103320  0.063190
  0.124080  0.069470
  0.146450  0.075370
  0.170330  0.080800
  0.195620  0.085720
  0.222210  0.090090
  0.250000  0.093780
  0.278860  0.096750
  0.308660  0.098960
  0.339280  0.100300
  0.370590  0.100840
  0.402450  0.100510
  0.434740  0.099330
  0.467300  0.097350
  0.500000  0.094540
  0.532700  0.091020
  0.565260  0.086850
  0.597550  0.082060
  0.629410  0.076780
  0.660720  0.071100
  0.691340  0.065110
  0.721140  0.058950
  0.750000  0.052710
  0.777790  0.046490
  0.804380  0.040430
  0.829670  0.034590
  0.853550  0.029070
  0.875920  0.023960
  0.896680  0.019300
  0.915730  0.015150
  0.933010  0.011520
  0.948440  0.008430
  0.961940  0.005880
  0.973470  0.003850
  0.982960  0.002300
  0.990390  0.001200
  0.995720  0.000500
  0.998930  0.000110
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.004730
  0.004280 -0.008990
  0.009610 -0.012830
  0.017040 -0.016230
  0.026530 -0.019160
  0.038060 -0.021640
  0.051560 -0.023710
  0.066990 -0.025390
  0.084270 -0.026710
  0.103320 -0.027710
  0.124080 -0.028430
  0.146450 -0.028890
  0.170330 -0.029120
  0.195620 -0.029160
  0.222210 -0.029030
  0.250000 -0.028770
  0.278860 -0.028380
  0.308660 -0.027870
  0.339280 -0.027240
  0.370590 -0.026520
  0.402450 -0.025680
  0.434740 -0.024720
  0.467300 -0.023640
  0.500000 -0.022440
  0.532700 -0.021130
  0.565260 -0.019680
  0.597550 -0.018120
  0.629410 -0.016460
  0.660720 -0.014710
  0.691340 -0.012910
  0.721140 -0.011080
  0.750000 -0.009260
  0.777790 -0.007490
  0.804380 -0.005810
  0.829670 -0.004250
  0.853550 -0.002860
  0.875920 -0.001660
  0.896680 -0.000680
  0.915730  0.000070
  0.933010  0.000590
  0.948440  0.000890
  0.961940  0.001000
  0.973470  0.000950
  0.982960  0.000770
  0.990390  0.000530
  0.995720  0.000280
  0.998930  0.000080
  1.000000  0.000000
