AH 83-159
       49.       49.

  0.000000  0.000000
  0.001070  0.004590
  0.004280  0.010360
  0.009610  0.016890
  0.017040  0.023870
  0.026530  0.031230
  0.038060  0.038840
  0.051560  0.046540
  0.066990  0.054260
  0.084270  0.061860
  0.103320  0.069300
  0.124080  0.076470
  0.146450  0.083300
  0.170330  0.089700
  0.195620  0.095600
  0.222210  0.100910
  0.250000  0.105590
  0.278860  0.109590
  0.308660  0.112900
  0.339280  0.115470
  0.370590  0.117240
  0.402450  0.118160
  0.434740  0.118150
  0.467300  0.117130
  0.500000  0.115050
  0.532700  0.111850
  0.565260  0.107470
  0.597550  0.101960
  0.629410  0.095480
  0.660720  0.088220
  0.691340  0.080440
  0.721140  0.072360
  0.750000  0.064200
  0.777790  0.056160
  0.804380  0.048410
  0.829670  0.041080
  0.853550  0.034280
  0.875920  0.028110
  0.896680  0.022670
  0.915730  0.017980
  0.933010  0.014080
  0.948440  0.011010
  0.961940  0.008430
  0.973470  0.006220
  0.982960  0.004280
  0.990390  0.002560
  0.995720  0.001190
  0.998930  0.000290
  1.000000  0.000000

  0.000000  0.000000
  0.001070 -0.003560
  0.004280 -0.006700
  0.009610 -0.009730
  0.017040 -0.012680
  0.026530 -0.015510
  0.038060 -0.018240
  0.051560 -0.020880
  0.066990 -0.023360
  0.084270 -0.025730
  0.103320 -0.027950
  0.124080 -0.030020
  0.146450 -0.031950
  0.170330 -0.033720
  0.195620 -0.035310
  0.222210 -0.036740
  0.250000 -0.037970
  0.278860 -0.039040
  0.308660 -0.039900
  0.339280 -0.040570
  0.370590 -0.041020
  0.402450 -0.041260
  0.434740 -0.041270
  0.467300 -0.041050
  0.500000 -0.040590
  0.532700 -0.039860
  0.565260 -0.038850
  0.597550 -0.037510
  0.629410 -0.035820
  0.660720 -0.033700
  0.691340 -0.031070
  0.721140 -0.027920
  0.750000 -0.024200
  0.777790 -0.019830
  0.804380 -0.014840
  0.829670 -0.009760
  0.853550 -0.005320
  0.875920 -0.001970
  0.896680  0.000350
  0.915730  0.001750
  0.933010  0.002390
  0.948440  0.002460
  0.961940  0.002150
  0.973470  0.001620
  0.982960  0.001010
  0.990390  0.000480
  0.995720  0.000190
  0.998930  0.000050
  1.000000  0.000000
