AH 94-156
       61.       60.

  0.000190  0.001990
  0.001250  0.005360
  0.003260  0.009120
  0.006360  0.013450
  0.010930  0.018570
  0.017550  0.024710
  0.026740  0.031850
  0.038490  0.039620
  0.052240  0.047470
  0.067340  0.055010
  0.083300  0.062080
  0.099860  0.068630
  0.116860  0.074630
  0.134250  0.080120
  0.151950  0.085130
  0.169930  0.089690
  0.188120  0.093810
  0.206490  0.097530
  0.225000  0.100840
  0.243640  0.103780
  0.262370  0.106340
  0.281200  0.108540
  0.300110  0.110400
  0.319100  0.111910
  0.338150  0.113110
  0.357260  0.114000
  0.376430  0.114600
  0.395610  0.114900
  0.414810  0.114930
  0.434000  0.114670
  0.453170  0.114130
  0.472300  0.113290
  0.491390  0.112160
  0.510430  0.110710
  0.529410  0.108950
  0.548320  0.106860
  0.567160  0.104420
  0.585930  0.101640
  0.604650  0.098510
  0.623320  0.095020
  0.641970  0.091180
  0.660630  0.087000
  0.679340  0.082510
  0.698110  0.077750
  0.716970  0.072760
  0.735910  0.067580
  0.754930  0.062260
  0.774040  0.056840
  0.793210  0.051380
  0.812330  0.045950
  0.831370  0.040620
  0.850350  0.035420
  0.869310  0.030360
  0.888260  0.025470
  0.907220  0.020730
  0.926190  0.016170
  0.945050  0.011800
  0.963270  0.007760
  0.979310  0.004260
  0.991370  0.001860
  1.000000  0.000370

  0.000190  0.001990
  0.000060 -0.001090
  0.001000 -0.004170
  0.003190 -0.007100
  0.006610 -0.009750
  0.011410 -0.012290
  0.018060 -0.014920
  0.027350 -0.017750
  0.039960 -0.020760
  0.055580 -0.023740
  0.073050 -0.026430
  0.091410 -0.028760
  0.110230 -0.030750
  0.129340 -0.032470
  0.148640 -0.033950
  0.168070 -0.035230
  0.187590 -0.036350
  0.207170 -0.037320
  0.226810 -0.038160
  0.246490 -0.038870
  0.266200 -0.039470
  0.285930 -0.039970
  0.305690 -0.040380
  0.325460 -0.040700
  0.345240 -0.040930
  0.365040 -0.041080
  0.384840 -0.041150
  0.404650 -0.041150
  0.424460 -0.041070
  0.444280 -0.040910
  0.464090 -0.040690
  0.483900 -0.040390
  0.503710 -0.040010
  0.523520 -0.039570
  0.543310 -0.039040
  0.563090 -0.038440
  0.582860 -0.037750
  0.602610 -0.036980
  0.622340 -0.036110
  0.642040 -0.035140
  0.661700 -0.034070
  0.681300 -0.032870
  0.700840 -0.031540
  0.720270 -0.030050
  0.739530 -0.028370
  0.758540 -0.026460
  0.777190 -0.024230
  0.795600 -0.021520
  0.814190 -0.018270
  0.833260 -0.014650
  0.852410 -0.011020
  0.871250 -0.007670
  0.889770 -0.004740
  0.907980 -0.002340
  0.925910 -0.000580
  0.943640  0.000450
  0.961270  0.000750
  0.977890  0.000620
  0.991010  0.000450
  1.000000  0.000370
